Year,Units,Art des Abwassers,Behandlung,Series,Value
2010,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100.0
2011,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100.0
2012,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100.0
2013,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100.0
2014,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100.0
2015,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100.0
2016,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100.0
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,11202690.0
2011,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,
2012,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,10912539.0
2014,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,
2015,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,10618410.0
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,1568324.0
2011,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,
2012,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,1513440.0
2014,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,
2015,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,1510666.0
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,9634366.0
2011,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,
2012,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,9399099.0
2014,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,
2015,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,9107744.0
2010,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,24153706.0
2011,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,
2012,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,
2013,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,16582729.0
2014,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,
2015,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,
2016,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,15725418.0
