Year,Units,Type of biomass,Series,Value
2010,Million tonnes carbon,,Above-ground biomass stock in forest,1571.0
2011,Million tonnes carbon,,Above-ground biomass stock in forest,1584.9
2012,Million tonnes carbon,,Above-ground biomass stock in forest,1598.2
2013,Million tonnes carbon,,Above-ground biomass stock in forest,1611.9
2014,Million tonnes carbon,,Above-ground biomass stock in forest,1637.0
2015,Million tonnes carbon,,Above-ground biomass stock in forest,1645.0
2016,Million tonnes carbon,,Above-ground biomass stock in forest,1654.0
2017,Million tonnes carbon,,Above-ground biomass stock in forest,1662.0
2018,Million tonnes carbon,,Above-ground biomass stock in forest,1668.0
2019,Million tonnes carbon,,Above-ground biomass stock in forest,1671.0
2020,Million tonnes carbon,,Above-ground biomass stock in forest,1676.0
2021,Million tonnes carbon,,Above-ground biomass stock in forest,1681.0
2012,Percentage,,Forest area located within protected areas,0.7
2015,Percentage,,Forest area located within protected areas,0.9
2018,Percentage,,Forest area located within protected areas,0.9
2010,Percentage,,Forest area net change rate,0.1
2011,Percentage,,Forest area net change rate,0.1
2012,Percentage,,Forest area net change rate,0.2
2013,Percentage,,Forest area net change rate,0.9
2014,Percentage,,Forest area net change rate,0.2
2015,Percentage,,Forest area net change rate,0.2
2016,Percentage,,Forest area net change rate,
2017,Percentage,,Forest area net change rate,0.2
2018,Percentage,,Forest area net change rate,0.2
2019,Percentage,,Forest area net change rate,0.0
2020,Percentage,,Forest area net change rate,0.1
2021,Percentage,,Forest area net change rate,0.1
2022,Percentage,,Forest area net change rate,0.2
2010,Percentage,,Forest area under an independently verified forest management certification scheme,67.5
2011,Percentage,,Forest area under an independently verified forest management certification scheme,67.2
2012,Percentage,,Forest area under an independently verified forest management certification scheme,66.9
2013,Percentage,,Forest area under an independently verified forest management certification scheme,66.9
2014,Percentage,,Forest area under an independently verified forest management certification scheme,66.6
2015,Percentage,,Forest area under an independently verified forest management certification scheme,66.2
2016,Percentage,,Forest area under an independently verified forest management certification scheme,66.9
2017,Percentage,,Forest area under an independently verified forest management certification scheme,67.2
2018,Percentage,,Forest area under an independently verified forest management certification scheme,68.6
2019,Percentage,,Forest area under an independently verified forest management certification scheme,69.1
2020,Percentage,,Forest area under an independently verified forest management certification scheme,73.9
2021,Percentage,,Forest area under an independently verified forest management certification scheme,79.2
2022,Percentage,,Forest area under an independently verified forest management certification scheme,79.4
2023,Percentage,,Forest area under an independently verified forest management certification scheme,79.4
2010,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,1075.0
2011,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,1084.6
2012,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,1093.7
2013,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,1103.1
2014,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,890.0
2015,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,895.0
2016,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,900.0
2017,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,905.0
2018,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,908.0
2019,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,910.0
2020,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,913.0
2021,Million tonnes carbon,Standig wood,Above-ground biomass stock in forest,916.0
2010,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,252.2
2011,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,254.4
2012,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,256.6
2013,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,258.8
2014,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,493.0
2015,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,495.0
2016,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,497.0
2017,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,499.0
2018,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,501.0
2019,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,502.0
2020,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,503.0
2021,Million tonnes carbon,Other woody biomass,Above-ground biomass stock in forest,504.0
2010,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,243.8
2011,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,246.0
2012,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,248.0
2013,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,250.0
2014,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,254.0
2015,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,255.0
2016,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,257.0
2017,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,258.0
2018,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,259.0
2019,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,259.0
2020,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,260.0
2021,Million tonnes carbon,Other biomass in forests,Above-ground biomass stock in forest,261.0
