Year,Time series,Value
2010,Population using safely managed drinking water services,100.0
2011,Population using safely managed drinking water services,100.0
2012,Population using safely managed drinking water services,100.0
2013,Population using safely managed drinking water services,100.0
2014,Population using safely managed drinking water services,100.0
2015,Population using safely managed drinking water services,100.0
2016,Population using safely managed drinking water services,100.0
2017,Population using safely managed drinking water services,100.0
2018,Population using safely managed drinking water services,100.0
2019,Population using safely managed drinking water services,100.0
2020,Population using safely managed drinking water services,100.0
2010,Population connected to the public water supply system,99.3
2011,Population connected to the public water supply system,
2012,Population connected to the public water supply system,
2013,Population connected to the public water supply system,99.3
2014,Population connected to the public water supply system,
2015,Population connected to the public water supply system,
2016,Population connected to the public water supply system,99.4
2017,Population connected to the public water supply system,
2018,Population connected to the public water supply system,
2019,Population connected to the public water supply system,
2020,Population connected to the public water supply system,
