Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,288.1
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,258.3
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,214.5
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,341.6
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,653.6
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,634.5
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,609.9
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,620.4
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,547.1
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,898.7
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,965.6
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1159.8
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1006.3
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,549.3
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,484.2
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,202.7
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,247.8
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,218.1
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,312.2
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,268.4
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,485.0
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,518.8
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,569.7
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,482.5
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,536.5
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,798.4
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,717.8
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1284.6
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,661.7
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,567.1
2010,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2011,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2012,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2013,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2014,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2015,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2016,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
