Year,Alter der Mutter,Value
2010,10 bis unter 15 Jahre,0.1
2011,10 bis unter 15 Jahre,0.1
2012,10 bis unter 15 Jahre,0.1
2013,10 bis unter 15 Jahre,0.1
2014,10 bis unter 15 Jahre,0.1
2015,10 bis unter 15 Jahre,0.1
2016,10 bis unter 15 Jahre,0.1
2017,10 bis unter 15 Jahre,0.1
2018,10 bis unter 15 Jahre,0.1
2019,10 bis unter 15 Jahre,0.1
2010,15 bis unter 20 Jahre,8.9
2011,15 bis unter 20 Jahre,8.3
2012,15 bis unter 20 Jahre,8.0
2013,15 bis unter 20 Jahre,7.8
2014,15 bis unter 20 Jahre,7.8
2015,15 bis unter 20 Jahre,7.9
2016,15 bis unter 20 Jahre,9.2
2017,15 bis unter 20 Jahre,8.1
2018,15 bis unter 20 Jahre,7.4
2019,15 bis unter 20 Jahre,6.9
