Year,Meer,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,36.4
2011,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,45.5
2012,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,45.5
2013,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,45.5
2014,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,51.5
2015,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,36.4
2016,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,30.3
2017,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,41.2
2018,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,44.1
2019,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,38.2
2020,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,41.2
2021,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,55.9
2022,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,58.8
2023,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,61.8
2024,,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,67.6
2010,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,42.3
2011,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,46.2
2012,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,42.3
2013,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,46.2
2014,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,46.2
2015,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,42.3
2016,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,34.6
2017,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,44.4
2018,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,48.1
2019,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,40.7
2020,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,48.1
2021,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,59.3
2022,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,59.3
