Year,Units,timeseries,Value
2010,%,population with access to electricity,100.0
2011,%,population with access to electricity,100.0
2012,%,population with access to electricity,100.0
2013,%,population with access to electricity,100.0
2014,%,population with access to electricity,100.0
2015,%,population with access to electricity,100.0
2016,%,population with access to electricity,100.0
2017,%,population with access to electricity,100.0
2018,%,population with access to electricity,100.0
2019,%,population with access to electricity,100.0
2020,%,population with access to electricity,100.0
2010,1 000,households and small-sized enterprises connected to the electricity network,44391.3
2011,1 000,households and small-sized enterprises connected to the electricity network,44766.6
2012,1 000,households and small-sized enterprises connected to the electricity network,45722.9
2013,1 000,households and small-sized enterprises connected to the electricity network,46105.0
2014,1 000,households and small-sized enterprises connected to the electricity network,46918.7
2015,1 000,households and small-sized enterprises connected to the electricity network,47283.1
2016,1 000,households and small-sized enterprises connected to the electricity network,47606.5
2017,1 000,households and small-sized enterprises connected to the electricity network,47241.7
2018,1 000,households and small-sized enterprises connected to the electricity network,48394.5
2019,1 000,households and small-sized enterprises connected to the electricity network,48441.5
2020,1 000,households and small-sized enterprises connected to the electricity network,
