Year,Migration policy area,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018/2019,,,,,2
2020/2021,,,,,3
2018/2019,(1) Migrant rights,,,,3
2020/2021,(1) Migrant rights,,,,3
2018/2019,(2) Whole-of-government/Evidence-based policies,,,,3
2020/2021,(2) Whole-of-government/Evidence-based policies,,,,3
2018/2019,(3) Cooperation and partnerships,,,,4
2020/2021,(3) Cooperation and partnerships,,,,4
2018/2019,(4) Socioeconomic well-being,,,,3
2020/2021,(4) Socioeconomic well-being,,,,4
2018/2019,(5) Mobility dimensions of crises,,,,1
2020/2021,(5) Mobility dimensions of crises,,,,3
2018/2019,"(6) Safe, orderly and regular migration",,,,4
2020/2021,"(6) Safe, orderly and regular migration",,,,4
