Year,Type of violence,Sex,Age group,Type of physical violence,Type of psychological violence,Type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,(a) Physical violence,,,,,,.,,,
2011,(a) Physical violence,,,,,,.,,,
2012,(a) Physical violence,,,,,,r,,,
2013,(a) Physical violence,,,,,,.,,,
2014,(a) Physical violence,,,,,,.,,,
2015,(a) Physical violence,,,,,,.,,,
2016,(a) Physical violence,,,,,,.,,,
2017,(a) Physical violence,,,,,,,,,
2018,(a) Physical violence,,,,,,.,,,
2019,(a) Physical violence,,,,,,.,,,
2020,(a) Physical violence,,,,,,|,r,,2.3
2021,(a) Physical violence,,,,,,…,,,
2022,(a) Physical violence,,,,,,…,,,
2023,(a) Physical violence,,,,,,…,,,
2024,(a) Physical violence,,,,,,…,,,
2010,(a) Physical violence,Female,,,,,.,,,
2011,(a) Physical violence,Female,,,,,.,,,
2012,(a) Physical violence,Female,,,,,r,,,
2013,(a) Physical violence,Female,,,,,.,,,
2014,(a) Physical violence,Female,,,,,.,,,
2015,(a) Physical violence,Female,,,,,.,,,
2016,(a) Physical violence,Female,,,,,.,,,
2017,(a) Physical violence,Female,,,,,,,,
2018,(a) Physical violence,Female,,,,,.,,,
2019,(a) Physical violence,Female,,,,,.,,,
2020,(a) Physical violence,Female,,,,,|,r,,1.6
2021,(a) Physical violence,Female,,,,,…,,,
2022,(a) Physical violence,Female,,,,,…,,,
2023,(a) Physical violence,Female,,,,,…,,,
2024,(a) Physical violence,Female,,,,,…,,,
2010,(a) Physical violence,Male,,,,,.,,,
2011,(a) Physical violence,Male,,,,,.,,,
2012,(a) Physical violence,Male,,,,,r,,,
2013,(a) Physical violence,Male,,,,,.,,,
2014,(a) Physical violence,Male,,,,,.,,,
2015,(a) Physical violence,Male,,,,,.,,,
2016,(a) Physical violence,Male,,,,,.,,,
2017,(a) Physical violence,Male,,,,,,,,
2018,(a) Physical violence,Male,,,,,.,,,
2019,(a) Physical violence,Male,,,,,.,,,
2020,(a) Physical violence,Male,,,,,|,r,,3.0
2021,(a) Physical violence,Male,,,,,…,,,
2022,(a) Physical violence,Male,,,,,…,,,
2023,(a) Physical violence,Male,,,,,…,,,
2024,(a) Physical violence,Male,,,,,…,,,
2010,(a) Physical violence,,16 to under 25 years,,,,.,,,
2011,(a) Physical violence,,16 to under 25 years,,,,.,,,
2012,(a) Physical violence,,16 to under 25 years,,,,r,,,
2013,(a) Physical violence,,16 to under 25 years,,,,.,,,
2014,(a) Physical violence,,16 to under 25 years,,,,.,,,
2015,(a) Physical violence,,16 to under 25 years,,,,.,,,
2016,(a) Physical violence,,16 to under 25 years,,,,.,,,
2017,(a) Physical violence,,16 to under 25 years,,,,,,,
2018,(a) Physical violence,,16 to under 25 years,,,,.,,,
2019,(a) Physical violence,,16 to under 25 years,,,,.,,,
2020,(a) Physical violence,,16 to under 25 years,,,,|,r,,5.7
2021,(a) Physical violence,,16 to under 25 years,,,,…,,,
2022,(a) Physical violence,,16 to under 25 years,,,,…,,,
2023,(a) Physical violence,,16 to under 25 years,,,,…,,,
2024,(a) Physical violence,,16 to under 25 years,,,,…,,,
2010,(a) Physical violence,,25 to under 35 years,,,,.,,,
2011,(a) Physical violence,,25 to under 35 years,,,,.,,,
2012,(a) Physical violence,,25 to under 35 years,,,,r,,,
2013,(a) Physical violence,,25 to under 35 years,,,,.,,,
2014,(a) Physical violence,,25 to under 35 years,,,,.,,,
2015,(a) Physical violence,,25 to under 35 years,,,,.,,,
2016,(a) Physical violence,,25 to under 35 years,,,,.,,,
2017,(a) Physical violence,,25 to under 35 years,,,,,,,
2018,(a) Physical violence,,25 to under 35 years,,,,.,,,
2019,(a) Physical violence,,25 to under 35 years,,,,.,,,
2020,(a) Physical violence,,25 to under 35 years,,,,|,r,,3.7
2021,(a) Physical violence,,25 to under 35 years,,,,…,,,
2022,(a) Physical violence,,25 to under 35 years,,,,…,,,
2023,(a) Physical violence,,25 to under 35 years,,,,…,,,
2024,(a) Physical violence,,25 to under 35 years,,,,…,,,
2010,(a) Physical violence,,35 to under 45 years,,,,.,,,
2011,(a) Physical violence,,35 to under 45 years,,,,.,,,
2012,(a) Physical violence,,35 to under 45 years,,,,r,,,
2013,(a) Physical violence,,35 to under 45 years,,,,.,,,
2014,(a) Physical violence,,35 to under 45 years,,,,.,,,
2015,(a) Physical violence,,35 to under 45 years,,,,.,,,
