Year,Geschlecht,Value
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,92.17
2016,,
2017,,93.6
2018,,
2019,,94.19
2020,,
2021,,94.92
2010,Weiblich,
2011,Weiblich,
2012,Weiblich,
2013,Weiblich,
2014,Weiblich,
2015,Weiblich,92.34
2016,Weiblich,
2017,Weiblich,94.33
2018,Weiblich,
2019,Weiblich,91.1
2020,Weiblich,
2021,Weiblich,95.9
2010,Männlich,
2011,Männlich,
2012,Männlich,
2013,Männlich,
2014,Männlich,
2015,Männlich,91.98
2016,Männlich,
2017,Männlich,92.78
2018,Männlich,
2019,Männlich,94.33
2020,Männlich,
2021,Männlich,93.87
2010,Divers,
2011,Divers,
2012,Divers,
2013,Divers,
2014,Divers,
2015,Divers,
2016,Divers,
2017,Divers,
2018,Divers,
2019,Divers,90.02
2020,Divers,
2021,Divers,96.04
