Year,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,0.12
2011,,,,,0.11
2012,,,,,0.16
2013,,,,,0.15
2014,,,,,0.14
2015,,,,,0.15
2016,,,,,0.17
2017,,,,,0.27
2018,,,,,0.29
2019,,r,,,0.31
2020,,r,,,0.37
2021,,,,,0.38
2022,,r,,,0.46
2023,,r,,,0.49
2024,,r,,,0.49
2010,Female,,,,0.07
2011,Female,,,,0.06
2012,Female,,,,0.09
2013,Female,,,,0.09
2014,Female,,,,0.09
2015,Female,,,,0.1
2016,Female,,,,0.12
2017,Female,,,,0.17
2018,Female,,,,0.15
2019,Female,,,,0.18
2020,Female,,,,0.2
2021,Female,,,,0.22
2022,Female,,,,0.22
2023,Female,,,,0.25
2024,Female,,,,0.28
2010,Male,,,,0.16
2011,Male,,,,0.16
2012,Male,,,,0.21
2013,Male,,,,0.21
2014,Male,,,,0.19
2015,Male,,,,0.2
2016,Male,,,,0.21
2017,Male,,,,0.37
2018,Male,,,,0.44
2019,Male,,,,0.43
2020,Male,,,,0.53
2021,Male,,,,0.54
2022,Male,,,,0.7
2023,Male,,,,0.72
2024,Male,,,,0.69
