Year,Units,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,percentage,,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.65
2016,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,percentage,,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.66
2018,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.67
2020,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,percentage,,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.86
2022,percentage,,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2023,percentage,,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,11.56
2010,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,percentage,female,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.89
2016,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,percentage,female,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.75
2018,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,female,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.62
2020,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,percentage,female,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.04
2022,percentage,female,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2023,percentage,female,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,10.2
2010,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,percentage,male,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.36
2016,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,percentage,male,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.57
2018,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,male,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.56
2020,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,percentage,male,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.68
2022,percentage,male,.,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2023,percentage,male,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,12.94
2019,percentage,divers,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,28.0
2021,percentage,divers,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,31.19
2023,percentage,divers,,,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,20.85
2010,number,,s,,,private persons (donors) suspected in the context of corruption offences,354.0
2011,number,,,,,private persons (donors) suspected in the context of corruption offences,295.0
2012,number,,,,,private persons (donors) suspected in the context of corruption offences,163.0
2013,number,,,,,private persons (donors) suspected in the context of corruption offences,222.0
2014,number,,,,,private persons (donors) suspected in the context of corruption offences,121.0
2015,number,,,,,private persons (donors) suspected in the context of corruption offences,148.0
