Year,timeseries,sex,age group,Value
2013,current tobacco use,,15 years and older,24.5
2017,current tobacco use,,15 years and older,22.4
2021,current tobacco use,,15 years and older,18.9
2013,current tobacco use,female,15 years and older,20.3
2017,current tobacco use,female,15 years and older,18.6
2021,current tobacco use,female,15 years and older,15.7
2013,current tobacco use,male,15 years and older,29.0
2017,current tobacco use,male,15 years and older,26.4
2021,current tobacco use,male,15 years and older,22.3
2013,current tobacco use (age-standardised to who standard population),,,27.6
2017,current tobacco use (age-standardised to who standard population),,,24.4
2021,current tobacco use (age-standardised to who standard population),,,20.2
