Year,Series,Value
2010,renewable energy in total final energy consumption,10.6
2011,renewable energy in total final energy consumption,11.5
2012,renewable energy in total final energy consumption,11.9
2013,renewable energy in total final energy consumption,12.0
2014,renewable energy in total final energy consumption,13.2
2015,renewable energy in total final energy consumption,14.0
2016,renewable energy in total final energy consumption,14.0
2017,renewable energy in total final energy consumption,14.9
2010,renewable energy in gross final energy consumption,11.7
2011,renewable energy in gross final energy consumption,12.5
2012,renewable energy in gross final energy consumption,13.8
2013,renewable energy in gross final energy consumption,13.8
2014,renewable energy in gross final energy consumption,14.4
2015,renewable energy in gross final energy consumption,14.9
2016,renewable energy in gross final energy consumption,14.9
2017,renewable energy in gross final energy consumption,15.5
2018,renewable energy in gross final energy consumption,16.7
2019,renewable energy in gross final energy consumption,17.3
2020,renewable energy in gross final energy consumption,19.1
2021,renewable energy in gross final energy consumption,19.4
2022,renewable energy in gross final energy consumption,20.8
2023,renewable energy in gross final energy consumption,22.0
