Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1239.0
2011,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1322.0
2012,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1276.0
2013,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1276.0
2014,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1285.0
2015,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1243.0
2016,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1259.0
2017,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1274.0
2018,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1234.0
2019,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1191.0
2020,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1156.0
2021,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1187.0
2022,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1140.0
2023,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1024.0
2010,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.4
2011,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),16.5
2012,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.9
2013,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.8
2014,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.9
2015,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.2
2016,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.3
2017,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.4
2018,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),14.9
2019,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),14.3
2020,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),13.9
2021,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),14.3
2022,Tonnen pro Kopf,r,,,Inländische Materialverwendung (DMC),13.8
2023,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),12.3
2010,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,119.9
2011,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,123.2
2012,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,118.4
2013,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,118.0
2014,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,116.3
2015,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,110.6
2016,2020 = 100,r,,,Inländische Materialverwendung pro realem BIP,109.6
2017,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,107.9
2018,2020 = 100,r,,,Inländische Materialverwendung pro realem BIP,103.3
2019,2020 = 100,r,,,Inländische Materialverwendung pro realem BIP,98.7
2020,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,100.0
2021,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,98.7
2022,2020 = 100,p,,,Inländische Materialverwendung pro realem BIP,93.1
2023,2020 = 100,p,,,Inländische Materialverwendung pro realem BIP,84.4
