Year,Units,purpose,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Stipendien,commitments,,,,134.336
2011,Millionen EUR,Stipendien,commitments,,,,129.642
2012,Millionen EUR,Stipendien,commitments,,,,116.643
2013,Millionen EUR,Stipendien,commitments,,,,100.763
2014,Millionen EUR,Stipendien,commitments,,,,64.74
2015,Millionen EUR,Stipendien,commitments,,,,85.092
2016,Millionen EUR,Stipendien,commitments,,,,75.084
2017,Millionen EUR,Stipendien,commitments,,,,63.658
2018,Millionen EUR,Stipendien,commitments,,,,65.25
2019,Millionen EUR,Stipendien,commitments,,,,67.675
2020,Millionen EUR,Stipendien,commitments,,,,70.268
2021,Millionen EUR,Stipendien,commitments,,,,45.284
2022,Millionen EUR,Stipendien,commitments,,,,28.668
2023,Millionen EUR,Stipendien,commitments,,,,17.728
2024,Millionen EUR,Stipendien,commitments,,,,17.614
2010,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,669.645
2011,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,665.131
2012,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,690.405
2013,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,670.771
2014,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,739.829
2015,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,845.527
2016,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,904.583
2017,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,998.585
2018,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,1121.055
2019,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,1318.333
2020,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,1488.856
2021,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,1669.123
2022,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,1779.444
2023,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,1980.449
2024,Millionen EUR,Kalkulatorische Studienplatzkosten,commitments,,,,2196.572
2010,Millionen EUR,Stipendien,gross disbursements,,,,130.229
2011,Millionen EUR,Stipendien,gross disbursements,,,,120.753
2012,Millionen EUR,Stipendien,gross disbursements,,,,113.189
2013,Millionen EUR,Stipendien,gross disbursements,,,,96.087
2014,Millionen EUR,Stipendien,gross disbursements,,,,57.268
2015,Millionen EUR,Stipendien,gross disbursements,,,,82.565
2016,Millionen EUR,Stipendien,gross disbursements,,,,74.676
2017,Millionen EUR,Stipendien,gross disbursements,,,,68.291
2018,Millionen EUR,Stipendien,gross disbursements,,,,65.998
2019,Millionen EUR,Stipendien,gross disbursements,,,,65.952
2020,Millionen EUR,Stipendien,gross disbursements,,,,72.176
2021,Millionen EUR,Stipendien,gross disbursements,,,,41.849
2022,Millionen EUR,Stipendien,gross disbursements,,,,21.146
2023,Millionen EUR,Stipendien,gross disbursements,,,,16.15
2024,Millionen EUR,Stipendien,gross disbursements,,,,18.603
2010,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,669.645
2011,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,665.131
2012,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,690.405
2013,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,670.771
2014,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,739.829
2015,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,845.527
2016,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,904.583
2017,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,998.585
2018,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,1121.055
2019,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,1318.333
2020,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,1488.856
2021,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,1669.123
2022,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,1779.444
2023,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,1980.449
2024,Millionen EUR,Kalkulatorische Studienplatzkosten,gross disbursements,,,,2196.572
2010,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,206.08
2011,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,196.46
2012,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,174.26
2013,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,147.59
2014,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,93.06
2015,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,120.22
2016,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,104.76
2017,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,87.53
2018,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,88.07
2019,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,89.54
2020,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,91.37
2021,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,57.34
2022,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,34.11
2023,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,19.77
2024,"Millionen USD, konstante Preise (2024)",Stipendien,commitments,,,,19.05
2010,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1027.28
2011,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1007.94
2012,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1031.44
2013,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,982.49
2014,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1063.47
2015,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1194.58
2016,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1262.1
2017,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1373.05
2018,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1513.12
2019,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1744.27
2020,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,1935.96
2021,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,2113.49
2022,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,2117.23
2023,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,2208.52
2024,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,commitments,,,,2375.7
2010,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,199.78
2011,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,182.99
2012,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,169.1
2013,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,140.74
2014,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,82.32
2015,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,116.65
2016,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,104.19
2017,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,93.9
2018,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,89.08
2019,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,87.26
2020,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,93.85
2021,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,52.99
2022,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,25.16
2023,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,18.01
2024,"Millionen USD, konstante Preise (2024)",Stipendien,gross disbursements,,,,20.12
2010,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1027.28
2011,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1007.94
2012,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1031.44
2013,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,982.49
2014,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1063.47
2015,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1194.58
2016,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1262.1
2017,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1373.05
2018,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1513.12
2019,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1744.27
2020,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,1935.96
2021,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,2113.49
2022,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,2117.23
2023,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,2208.52
2024,"Millionen USD, konstante Preise (2024)",Kalkulatorische Studienplatzkosten,gross disbursements,,,,2375.7
