Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,0
2011,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2012,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2013,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2014,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2015,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2016,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2017,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2018,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2019,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2020,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2021,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,0
2022,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2023,"yes=1, no=0",at least one population and housing census in the last 10 years conducted,,,,1
2010,percentage,birth registration,s,,,100
2011,percentage,birth registration,s,,,100
2012,percentage,birth registration,s,,,100
2013,percentage,birth registration,s,,,100
2014,percentage,birth registration,s,,,100
2015,percentage,birth registration,s,,,100
2016,percentage,birth registration,s,,,100
2017,percentage,birth registration,s,,,100
2018,percentage,birth registration,s,,,100
2019,percentage,birth registration,s,,,100
2020,percentage,birth registration,s,,,100
2021,percentage,birth registration,s,,,100
2022,percentage,birth registration,s,,,100
2023,percentage,birth registration,s,,,100
2010,percentage,death registration,s,,,100
2011,percentage,death registration,s,,,100
2012,percentage,death registration,s,,,100
2013,percentage,death registration,s,,,100
2014,percentage,death registration,s,,,100
2015,percentage,death registration,s,,,100
2016,percentage,death registration,s,,,100
2017,percentage,death registration,s,,,100
2018,percentage,death registration,s,,,100
2019,percentage,death registration,s,,,100
2020,percentage,death registration,s,,,100
2021,percentage,death registration,s,,,100
2022,percentage,death registration,s,,,100
2023,percentage,death registration,s,,,100
