Year,completeness of disaggregation,goal,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,fully disaggregated,,,,,23
2025,fully disaggregated,,,,,22
2024,partially disaggregated,,,,,23
2025,partially disaggregated,,,,,20
2024,not disaggregated,,,,,54
2025,not disaggregated,,,,,57
2024,fully disaggregated,1 - no poverty,-,,,0
2025,fully disaggregated,1 - no poverty,-,,,0
2024,partially disaggregated,1 - no poverty,,,,25
2025,partially disaggregated,1 - no poverty,,,,25
2024,not disaggregated,1 - no poverty,,,,75
2025,not disaggregated,1 - no poverty,,,,75
2024,fully disaggregated,2 - zero hunger,,,,25
2025,fully disaggregated,2 - zero hunger,,,,20
2024,partially disaggregated,2 - zero hunger,-,,,0
2025,partially disaggregated,2 - zero hunger,-,,,0
2024,not disaggregated,2 - zero hunger,,,,75
2025,not disaggregated,2 - zero hunger,,,,80
2024,fully disaggregated,3 - good health and well-being,-,,,0
2025,fully disaggregated,3 - good health and well-being,-,,,0
2024,partially disaggregated,3 - good health and well-being,,,,100
2025,partially disaggregated,3 - good health and well-being,,,,100
2024,not disaggregated,3 - good health and well-being,-,,,0
2025,not disaggregated,3 - good health and well-being,-,,,0
2024,fully disaggregated,4 - quality education,,,,33
2025,fully disaggregated,4 - quality education,,,,33
2024,partially disaggregated,4 - quality education,-,,,0
2025,partially disaggregated,4 - quality education,-,,,0
2024,not disaggregated,4 - quality education,,,,67
2025,not disaggregated,4 - quality education,,,,67
2024,fully disaggregated,5 - gender equality,-,,,0
2025,fully disaggregated,5 - gender equality,-,,,0
2024,partially disaggregated,5 - gender equality,,,,17
2025,partially disaggregated,5 - gender equality,-,,,0
2024,not disaggregated,5 - gender equality,,,,83
2025,not disaggregated,5 - gender equality,,,,100
2024,fully disaggregated,8 - decent work and economic growth,,,,17
2025,fully disaggregated,8 - decent work and economic growth,,,,17
2024,partially disaggregated,8 - decent work and economic growth,,,,50
2025,partially disaggregated,8 - decent work and economic growth,,,,50
2024,not disaggregated,8 - decent work and economic growth,,,,33
2025,not disaggregated,8 - decent work and economic growth,,,,33
2024,fully disaggregated,"9 - industry, innovation and infrastructure",,,,100
2025,fully disaggregated,"9 - industry, innovation and infrastructure",,,,100
2024,partially disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2025,partially disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2024,not disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2025,not disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2024,fully disaggregated,10 - reduced inequalities,,,,33
2025,fully disaggregated,10 - reduced inequalities,,,,33
2024,partially disaggregated,10 - reduced inequalities,,,,67
2025,partially disaggregated,10 - reduced inequalities,,,,67
2024,not disaggregated,10 - reduced inequalities,-,,,0
2025,not disaggregated,10 - reduced inequalities,-,,,0
2024,fully disaggregated,11 - sustainable cities and communities,-,,,0
2025,fully disaggregated,11 - sustainable cities and communities,-,,,0
2024,partially disaggregated,11 - sustainable cities and communities,,,,40
2025,partially disaggregated,11 - sustainable cities and communities,,,,33
2024,not disaggregated,11 - sustainable cities and communities,,,,60
2025,not disaggregated,11 - sustainable cities and communities,,,,67
2024,fully disaggregated,12 - responsible consumption and production,,,,100
2025,fully disaggregated,12 - responsible consumption and production,,,,100
2024,partially disaggregated,12 - responsible consumption and production,-,,,0
2025,partially disaggregated,12 - responsible consumption and production,-,,,0
2024,not disaggregated,12 - responsible consumption and production,-,,,0
2025,not disaggregated,12 - responsible consumption and production,-,,,0
2024,fully disaggregated,15 - life on land,-,,,0
2025,fully disaggregated,15 - life on land,-,,,0
2024,partially disaggregated,15 - life on land,-,,,0
2025,partially disaggregated,15 - life on land,-,,,0
2024,not disaggregated,15 - life on land,,,,100
2025,not disaggregated,15 - life on land,,,,100
2024,fully disaggregated,16 - peace and justice,,,,25
2025,fully disaggregated,16 - peace and justice,,,,25
2024,partially disaggregated,16 - peace and justice,,,,25
2025,partially disaggregated,16 - peace and justice,,,,25
2024,not disaggregated,16 - peace and justice,,,,50
2025,not disaggregated,16 - peace and justice,,,,50
2024,fully disaggregated,17 - partnerships for the goals,,,,50
2025,fully disaggregated,17 - partnerships for the goals,,,,50
2024,partially disaggregated,17 - partnerships for the goals,-,,,0
2025,partially disaggregated,17 - partnerships for the goals,-,,,0
2024,not disaggregated,17 - partnerships for the goals,,,,50
2025,not disaggregated,17 - partnerships for the goals,,,,50
