Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,At-risk-of-poverty rate,15.6
2011,,,,At-risk-of-poverty rate,15.8
2012,,,,At-risk-of-poverty rate,16.1
2013,,,,At-risk-of-poverty rate,16.1
2014,,,,At-risk-of-poverty rate,16.7
2015,,,,At-risk-of-poverty rate,16.7
2016,,,,At-risk-of-poverty rate,16.5
2017,,,,At-risk-of-poverty rate,16.1
2018,,,,At-risk-of-poverty rate,16.0
2019,,,,At-risk-of-poverty rate,14.8
2020,|,,,At-risk-of-poverty rate,16.1
2021,,,,At-risk-of-poverty rate,16.0
2022,,,,At-risk-of-poverty rate,14.8
2023,,,,At-risk-of-poverty rate,14.4
2024,,,,At-risk-of-poverty rate,15.5
2010,,,,Government expenditure on social protection,40.82
2011,,,,Government expenditure on social protection,40.9
2012,,,,Government expenditure on social protection,41.04
2013,,,,Government expenditure on social protection,41.15
2014,,,,Government expenditure on social protection,41.35
2015,,,,Government expenditure on social protection,42.06
2016,,,,Government expenditure on social protection,42.77
2017,,,,Government expenditure on social protection,42.73
2018,,,,Government expenditure on social protection,42.27
2019,,,,Government expenditure on social protection,42.21
2020,,,,Government expenditure on social protection,41.86
2021,p,,,Government expenditure on social protection,40.41
2022,p,,,Government expenditure on social protection,40.79
2023,p,,,Government expenditure on social protection,40.62
2024,p,,,Government expenditure on social protection,41.4
