Year,Time series,Age group,Sex,Value
2010,Victims of non-sexual harassment,,,28870
2011,Victims of non-sexual harassment,,,26876
2012,Victims of non-sexual harassment,,,26360
2013,Victims of non-sexual harassment,,,25517
2014,Victims of non-sexual harassment,,,23303
2015,Victims of non-sexual harassment,,,21070
2016,Victims of non-sexual harassment,,,19949
2017,Victims of non-sexual harassment,,,29980
2018,Victims of non-sexual harassment,,,34907
2019,Victims of non-sexual harassment,,,34643
2020,Victims of non-sexual harassment,,,34666
2021,Victims of non-sexual harassment,,,35926
2022,Victims of non-sexual harassment,,,41739
2023,Victims of non-sexual harassment,,,45766
2010,Victims of non-sexual harassment,,Female,22909
2011,Victims of non-sexual harassment,,Female,21414
2012,Victims of non-sexual harassment,,Female,21217
2013,Victims of non-sexual harassment,,Female,20455
2014,Victims of non-sexual harassment,,Female,18682
2015,Victims of non-sexual harassment,,Female,16941
2016,Victims of non-sexual harassment,,Female,16115
2017,Victims of non-sexual harassment,,Female,25609
2018,Victims of non-sexual harassment,,Female,30104
2019,Victims of non-sexual harassment,,Female,29838
2020,Victims of non-sexual harassment,,Female,29557
2021,Victims of non-sexual harassment,,Female,30472
2022,Victims of non-sexual harassment,,Female,35870
2023,Victims of non-sexual harassment,,Female,39005
2010,Victims of non-sexual harassment,,Male,5961
2011,Victims of non-sexual harassment,,Male,5462
2012,Victims of non-sexual harassment,,Male,5143
2013,Victims of non-sexual harassment,,Male,5062
2014,Victims of non-sexual harassment,,Male,4621
2015,Victims of non-sexual harassment,,Male,4129
2016,Victims of non-sexual harassment,,Male,3834
2017,Victims of non-sexual harassment,,Male,4371
2018,Victims of non-sexual harassment,,Male,4803
2019,Victims of non-sexual harassment,,Male,4805
2020,Victims of non-sexual harassment,,Male,5109
2021,Victims of non-sexual harassment,,Male,5454
2022,Victims of non-sexual harassment,,Male,5869
2023,Victims of non-sexual harassment,,Male,6761
2010,Victims of non-sexual harassment,13 years and younger,,443
2011,Victims of non-sexual harassment,13 years and younger,,416
2012,Victims of non-sexual harassment,13 years and younger,,432
2013,Victims of non-sexual harassment,13 years and younger,,427
2014,Victims of non-sexual harassment,13 years and younger,,377
2015,Victims of non-sexual harassment,13 years and younger,,343
2016,Victims of non-sexual harassment,13 years and younger,,336
2017,Victims of non-sexual harassment,13 years and younger,,1122
2018,Victims of non-sexual harassment,13 years and younger,,1568
2019,Victims of non-sexual harassment,13 years and younger,,1675
2020,Victims of non-sexual harassment,13 years and younger,,1503
2021,Victims of non-sexual harassment,13 years and younger,,1546
2022,Victims of non-sexual harassment,13 years and younger,,2248
2023,Victims of non-sexual harassment,13 years and younger,,2499
2010,Victims of non-sexual harassment,13 years and younger,Female,272
