Year,Time series,Sex,Value
2010,Fatal,,1.2
2011,Fatal,,1.2
2012,Fatal,,1.2
2013,Fatal,,1.0
2014,Fatal,,1.2
2015,Fatal,,1.0
2016,Fatal,,1.0
2017,Fatal,,0.9
2018,Fatal,,0.8
2010,Non-fatal,,1976.1
2011,Non-fatal,,2058.3
2012,Non-fatal,,1956.3
2013,Non-fatal,,1900.0
2014,Non-fatal,,1977.3
2015,Non-fatal,,1930.6
2016,Non-fatal,,1950.9
2017,Non-fatal,,1819.6
2018,Non-fatal,,1721.6
2010,Non-fatal,Female,1022.7
2011,Non-fatal,Female,1004.4
2012,Non-fatal,Female,998.3
2013,Non-fatal,Female,1010.1
2014,Non-fatal,Female,1098.4
2015,Non-fatal,Female,1094.0
2016,Non-fatal,Female,1097.3
2017,Non-fatal,Female,987.7
2018,Non-fatal,Female,920.1
2010,Non-fatal,Male,2806.8
2011,Non-fatal,Male,3015.8
2012,Non-fatal,Male,2820.5
2013,Non-fatal,Male,2718.5
2014,Non-fatal,Male,2780.6
2015,Non-fatal,Male,2694.4
2016,Non-fatal,Male,2734.3
2017,Non-fatal,Male,2578.2
2018,Non-fatal,Male,2453.0
