Year,Units,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Prozent,Haus- und Pflegearbeit,,,,,,,12.4
2022,Prozent,Haus- und Pflegearbeit,,,,,,,12.6
2013,Prozent,Haus- und Pflegearbeit,Städte,,,,,,12.3
2022,Prozent,Haus- und Pflegearbeit,Städte,,,,,,12.6
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,,,,,,12.6
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,,,,,,12.9
2013,Prozent,Haus- und Pflegearbeit,,15 Jahre und älter,,,,,12.8
2022,Prozent,Haus- und Pflegearbeit,,15 Jahre und älter,,,,,13.1
2013,Prozent,Haus- und Pflegearbeit,,15 bis unter 25 Jahre,,,,,5.4
2022,Prozent,Haus- und Pflegearbeit,,15 bis unter 25 Jahre,,,,,5.7
2013,Prozent,Haus- und Pflegearbeit,,25 bis unter 45 Jahre,,,,,13.6
2022,Prozent,Haus- und Pflegearbeit,,25 bis unter 45 Jahre,,,,,13.9
2013,Prozent,Haus- und Pflegearbeit,,45 bis unter 55 Jahre,,,,,13.0
2022,Prozent,Haus- und Pflegearbeit,,45 bis unter 55 Jahre,,,,,13.0
2013,Prozent,Haus- und Pflegearbeit,,55 bis unter 65 Jahre,,,,,13.5
2022,Prozent,Haus- und Pflegearbeit,,55 bis unter 65 Jahre,,,,,13.2
2013,Prozent,Haus- und Pflegearbeit,,65 Jahre und älter,,,,,15.5
2022,Prozent,Haus- und Pflegearbeit,,65 Jahre und älter,,,,,15.3
2013,Prozent,Haus- und Pflegearbeit,,,Weiblich,,,,15.2
2022,Prozent,Haus- und Pflegearbeit,,,Weiblich,,,,15.1
2013,Prozent,Haus- und Pflegearbeit,,,Männlich,,,,9.6
2022,Prozent,Haus- und Pflegearbeit,,,Männlich,,,,10.1
2013,Prozent,Haus- und Pflegearbeit,Städte,,Weiblich,,,,15.1
2022,Prozent,Haus- und Pflegearbeit,Städte,,Weiblich,,,,15.1
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,,Weiblich,,,,15.5
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,,Weiblich,,,,15.4
2013,Prozent,Haus- und Pflegearbeit,,15 Jahre und älter,Weiblich,,,,15.7
2022,Prozent,Haus- und Pflegearbeit,,15 Jahre und älter,Weiblich,,,,15.7
2013,Prozent,Haus- und Pflegearbeit,,15 bis unter 25 Jahre,Weiblich,,,,6.8
2022,Prozent,Haus- und Pflegearbeit,,15 bis unter 25 Jahre,Weiblich,,,,7.1
2013,Prozent,Haus- und Pflegearbeit,,25 bis unter 45 Jahre,Weiblich,,,,17.8
2022,Prozent,Haus- und Pflegearbeit,,25 bis unter 45 Jahre,Weiblich,,,,17.6
2013,Prozent,Haus- und Pflegearbeit,,45 bis unter 55 Jahre,Weiblich,,,,15.8
2022,Prozent,Haus- und Pflegearbeit,,45 bis unter 55 Jahre,Weiblich,,,,15.7
2013,Prozent,Haus- und Pflegearbeit,,55 bis unter 65 Jahre,Weiblich,,,,16.0
2022,Prozent,Haus- und Pflegearbeit,,55 bis unter 65 Jahre,Weiblich,,,,15.4
2013,Prozent,Haus- und Pflegearbeit,,65 Jahre und älter,Weiblich,,,,17.5
2022,Prozent,Haus- und Pflegearbeit,,65 Jahre und älter,Weiblich,,,,16.7
2013,Prozent,Haus- und Pflegearbeit,Städte,,Männlich,,,,9.6
2022,Prozent,Haus- und Pflegearbeit,Städte,,Männlich,,,,10.1
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,,Männlich,,,,9.8
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,,Männlich,,,,10.3
