Year,timeseries,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,persons at risk of poverty or social exclusion,,,.,,,
2011,persons at risk of poverty or social exclusion,,,.,,,
2012,persons at risk of poverty or social exclusion,,,.,,,
2013,persons at risk of poverty or social exclusion,,,.,,,
2014,persons at risk of poverty or social exclusion,,,.,,,
2015,persons at risk of poverty or social exclusion,,,,,,20.0
2016,persons at risk of poverty or social exclusion,,,,,,19.8
2017,persons at risk of poverty or social exclusion,,,,,,18.8
2018,persons at risk of poverty or social exclusion,,,,,,18.5
2019,persons at risk of poverty or social exclusion,,,,,,17.3
2020,persons at risk of poverty or social exclusion,,,|,,,20.4
2021,persons at risk of poverty or social exclusion,,,,,,21.0
2022,persons at risk of poverty or social exclusion,,,,,,21.1
2023,persons at risk of poverty or social exclusion,,,,,,21.3
2024,persons at risk of poverty or social exclusion,,,,,,21.1
2025,persons at risk of poverty or social exclusion,,,,,,21.2
2010,persons at risk of poverty or social exclusion,5 years and younger,,.,,,
2011,persons at risk of poverty or social exclusion,5 years and younger,,.,,,
2012,persons at risk of poverty or social exclusion,5 years and younger,,.,,,
2013,persons at risk of poverty or social exclusion,5 years and younger,,.,,,
2014,persons at risk of poverty or social exclusion,5 years and younger,,.,,,
2015,persons at risk of poverty or social exclusion,5 years and younger,,,,,21.3
2016,persons at risk of poverty or social exclusion,5 years and younger,,,,,20.4
2017,persons at risk of poverty or social exclusion,5 years and younger,,,,,18.6
2018,persons at risk of poverty or social exclusion,5 years and younger,,,,,17.4
2019,persons at risk of poverty or social exclusion,5 years and younger,,,,,14.5
2020,persons at risk of poverty or social exclusion,5 years and younger,,|,,,22.4
2021,persons at risk of poverty or social exclusion,5 years and younger,,,,,25.3
2022,persons at risk of poverty or social exclusion,5 years and younger,,,,,24.6
2023,persons at risk of poverty or social exclusion,5 years and younger,,,,,24.0
2024,persons at risk of poverty or social exclusion,5 years and younger,,,,,23.2
2025,persons at risk of poverty or social exclusion,5 years and younger,,,,,24.1
2010,persons at risk of poverty or social exclusion,6 to under 12 years,,.,,,
2011,persons at risk of poverty or social exclusion,6 to under 12 years,,.,,,
2012,persons at risk of poverty or social exclusion,6 to under 12 years,,.,,,
2013,persons at risk of poverty or social exclusion,6 to under 12 years,,.,,,
2014,persons at risk of poverty or social exclusion,6 to under 12 years,,.,,,
2015,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,18.0
2016,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,20.7
2017,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,17.8
2018,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,16.7
2019,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,15.0
2020,persons at risk of poverty or social exclusion,6 to under 12 years,,|,,,21.7
2021,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,22.6
2022,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,24.0
2023,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,23.7
2024,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,22.1
2025,persons at risk of poverty or social exclusion,6 to under 12 years,,,,,22.4
2010,persons at risk of poverty or social exclusion,12 to under 18 years,,.,,,
2011,persons at risk of poverty or social exclusion,12 to under 18 years,,.,,,
2012,persons at risk of poverty or social exclusion,12 to under 18 years,,.,,,
2013,persons at risk of poverty or social exclusion,12 to under 18 years,,.,,,
2014,persons at risk of poverty or social exclusion,12 to under 18 years,,.,,,
2015,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,18.5
2016,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,20.9
2017,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,19.3
2018,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,18.4
2019,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,16.9
2020,persons at risk of poverty or social exclusion,12 to under 18 years,,|,,,22.8
2021,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,22.9
2022,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,24.5
2023,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,24.0
2024,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,23.4
2025,persons at risk of poverty or social exclusion,12 to under 18 years,,,,,23.9
2010,persons at risk of poverty or social exclusion,18 to under 65 years,,.,,,
2011,persons at risk of poverty or social exclusion,18 to under 65 years,,.,,,
2012,persons at risk of poverty or social exclusion,18 to under 65 years,,.,,,
2013,persons at risk of poverty or social exclusion,18 to under 65 years,,.,,,
2014,persons at risk of poverty or social exclusion,18 to under 65 years,,.,,,
2015,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,21.1
2016,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,20.1
2017,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,19.2
2018,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,18.7
2019,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,17.3
2020,persons at risk of poverty or social exclusion,18 to under 65 years,,|,,,19.6
2021,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,20.3
2022,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,20.6
2023,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,20.8
2024,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,20.5
2025,persons at risk of poverty or social exclusion,18 to under 65 years,,,,,20.6
2010,persons at risk of poverty or social exclusion,65 years and older,,.,,,
2011,persons at risk of poverty or social exclusion,65 years and older,,.,,,
2012,persons at risk of poverty or social exclusion,65 years and older,,.,,,
2013,persons at risk of poverty or social exclusion,65 years and older,,.,,,
2014,persons at risk of poverty or social exclusion,65 years and older,,.,,,
2015,persons at risk of poverty or social exclusion,65 years and older,,,,,17.1
2016,persons at risk of poverty or social exclusion,65 years and older,,,,,18.3
2017,persons at risk of poverty or social exclusion,65 years and older,,,,,17.6
2018,persons at risk of poverty or social exclusion,65 years and older,,,,,18.9
2019,persons at risk of poverty or social exclusion,65 years and older,,,,,18.8
2020,persons at risk of poverty or social exclusion,65 years and older,,|,,,21.0
2021,persons at risk of poverty or social exclusion,65 years and older,,,,,20.5
2022,persons at risk of poverty or social exclusion,65 years and older,,,,,19.8
2023,persons at risk of poverty or social exclusion,65 years and older,,,,,20.6
2024,persons at risk of poverty or social exclusion,65 years and older,,,,,21.2
2025,persons at risk of poverty or social exclusion,65 years and older,,,,,21.0
2010,persons at risk of poverty or social exclusion,,female,.,,,
2011,persons at risk of poverty or social exclusion,,female,.,,,
2012,persons at risk of poverty or social exclusion,,female,.,,,
2013,persons at risk of poverty or social exclusion,,female,.,,,
2014,persons at risk of poverty or social exclusion,,female,.,,,
