Year,Altersklasse,Geschlecht,Value
2010,13 Jahre und jünger,,11
2011,13 Jahre und jünger,,29
2012,13 Jahre und jünger,,19
2013,13 Jahre und jünger,,18
2014,13 Jahre und jünger,,22
2015,13 Jahre und jünger,,19
2016,13 Jahre und jünger,,36
2017,13 Jahre und jünger,,67
2018,13 Jahre und jünger,,18
2019,13 Jahre und jünger,,15
2020,13 Jahre und jünger,,31
2010,13 Jahre und jünger,Weiblich,2
2011,13 Jahre und jünger,Weiblich,13
2012,13 Jahre und jünger,Weiblich,11
2013,13 Jahre und jünger,Weiblich,6
2014,13 Jahre und jünger,Weiblich,9
2015,13 Jahre und jünger,Weiblich,7
2016,13 Jahre und jünger,Weiblich,15
2017,13 Jahre und jünger,Weiblich,16
2018,13 Jahre und jünger,Weiblich,9
2019,13 Jahre und jünger,Weiblich,9
2020,13 Jahre und jünger,Weiblich,10
2010,13 Jahre und jünger,Männlich,9
2011,13 Jahre und jünger,Männlich,16
2012,13 Jahre und jünger,Männlich,8
2013,13 Jahre und jünger,Männlich,12
2014,13 Jahre und jünger,Männlich,13
2015,13 Jahre und jünger,Männlich,12
2016,13 Jahre und jünger,Männlich,21
2017,13 Jahre und jünger,Männlich,51
2018,13 Jahre und jünger,Männlich,9
2019,13 Jahre und jünger,Männlich,6
2020,13 Jahre und jünger,Männlich,21
2010,14 bis unter 18 Jahre,,108
2011,14 bis unter 18 Jahre,,95
2012,14 bis unter 18 Jahre,,96
2013,14 bis unter 18 Jahre,,92
2014,14 bis unter 18 Jahre,,76
2015,14 bis unter 18 Jahre,,87
2016,14 bis unter 18 Jahre,,111
2017,14 bis unter 18 Jahre,,53
2018,14 bis unter 18 Jahre,,112
2019,14 bis unter 18 Jahre,,89
2020,14 bis unter 18 Jahre,,86
2010,14 bis unter 18 Jahre,Weiblich,97
2011,14 bis unter 18 Jahre,Weiblich,82
2012,14 bis unter 18 Jahre,Weiblich,88
2013,14 bis unter 18 Jahre,Weiblich,79
2014,14 bis unter 18 Jahre,Weiblich,66
2015,14 bis unter 18 Jahre,Weiblich,80
2016,14 bis unter 18 Jahre,Weiblich,100
2017,14 bis unter 18 Jahre,Weiblich,49
2018,14 bis unter 18 Jahre,Weiblich,96
2019,14 bis unter 18 Jahre,Weiblich,74
2020,14 bis unter 18 Jahre,Weiblich,62
2010,14 bis unter 18 Jahre,Männlich,11
2011,14 bis unter 18 Jahre,Männlich,13
2012,14 bis unter 18 Jahre,Männlich,8
2013,14 bis unter 18 Jahre,Männlich,13
2014,14 bis unter 18 Jahre,Männlich,10
2015,14 bis unter 18 Jahre,Männlich,7
2016,14 bis unter 18 Jahre,Männlich,11
2017,14 bis unter 18 Jahre,Männlich,4
2018,14 bis unter 18 Jahre,Männlich,16
2019,14 bis unter 18 Jahre,Männlich,15
2020,14 bis unter 18 Jahre,Männlich,24
2010,,,119
2011,,,124
2012,,,115
2013,,,110
2014,,,98
2015,,,106
2016,,,147
2017,,,120
2018,,,130
2019,,,104
2020,,,117
2010,,Weiblich,99
2011,,Weiblich,95
2012,,Weiblich,99
2013,,Weiblich,85
2014,,Weiblich,75
2015,,Weiblich,87
2016,,Weiblich,115
2017,,Weiblich,65
2018,,Weiblich,105
2019,,Weiblich,83
2020,,Weiblich,72
2010,,Männlich,20
2011,,Männlich,29
2012,,Männlich,16
2013,,Männlich,25
2014,,Männlich,23
2015,,Männlich,19
2016,,Männlich,32
2017,,Männlich,55
2018,,Männlich,25
2019,,Männlich,21
2020,,Männlich,45
