Year,environmental protection and/or resource management sector,economic activity,type of sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,,,,,,,output of the environmental goods and services sector (egss),286978.155
2023,,,,p,,,output of the environmental goods and services sector (egss),284514.935
2022,air and climate (cep 01),,,,,,output of the environmental goods and services sector (egss),
2023,air and climate (cep 01),,,,,,output of the environmental goods and services sector (egss),24420.372
2024,air and climate (cep 01),,,,,,output of the environmental goods and services sector (egss),
2022,energy from renewable sources (cep 0201),,,,,,output of the environmental goods and services sector (egss),
2023,energy from renewable sources (cep 0201),,,,,,output of the environmental goods and services sector (egss),101940.629
2024,energy from renewable sources (cep 0201),,,,,,output of the environmental goods and services sector (egss),
2022,energy savings and management (cep 0202),,,,,,output of the environmental goods and services sector (egss),
2023,energy savings and management (cep 0202),,,,,,output of the environmental goods and services sector (egss),34654.472
2024,energy savings and management (cep 0202),,,,,,output of the environmental goods and services sector (egss),
2022,wastewater management (cep 0301),,,,,,output of the environmental goods and services sector (egss),
2023,wastewater management (cep 0301),,,,,,output of the environmental goods and services sector (egss),33969.816
2024,wastewater management (cep 0301),,,,,,output of the environmental goods and services sector (egss),
2022,water savings and management of natural water resources (cep 0302),,,,,,output of the environmental goods and services sector (egss),
2023,water savings and management of natural water resources (cep 0302),,,,,,output of the environmental goods and services sector (egss),91.89
2024,water savings and management of natural water resources (cep 0302),,,,,,output of the environmental goods and services sector (egss),
2022,waste management (cep 0401),,,,,,output of the environmental goods and services sector (egss),
2023,waste management (cep 0401),,,,,,output of the environmental goods and services sector (egss),41310.205
2024,waste management (cep 0401),,,,,,output of the environmental goods and services sector (egss),
2022,materials recovery and savings (cep 0402),,,,,,output of the environmental goods and services sector (egss),
2023,materials recovery and savings (cep 0402),,,,,,output of the environmental goods and services sector (egss),21448.488
2024,materials recovery and savings (cep 0402),,,,,,output of the environmental goods and services sector (egss),
2022,"protection of soil, surface and groundwater (cep 0501)",,,,,,output of the environmental goods and services sector (egss),
2023,"protection of soil, surface and groundwater (cep 0501)",,,,,,output of the environmental goods and services sector (egss),8482.142
2024,"protection of soil, surface and groundwater (cep 0501)",,,,,,output of the environmental goods and services sector (egss),
2022,protection of biodiversity and landscape (cep 0502),,,,,,output of the environmental goods and services sector (egss),
2023,protection of biodiversity and landscape (cep 0502),,,,,,output of the environmental goods and services sector (egss),2525.694
2024,protection of biodiversity and landscape (cep 0502),,,,,,output of the environmental goods and services sector (egss),
2022,management of forest resources (cep 0503),,,,,,output of the environmental goods and services sector (egss),
2023,management of forest resources (cep 0503),,,,,,output of the environmental goods and services sector (egss),3548.487
2024,management of forest resources (cep 0503),,,,,,output of the environmental goods and services sector (egss),
2022,noise and radiation (cep 06),,,,,,output of the environmental goods and services sector (egss),
2023,noise and radiation (cep 06),,,,,,output of the environmental goods and services sector (egss),6933.207
2024,noise and radiation (cep 06),,,,,,output of the environmental goods and services sector (egss),
