Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,Annual growth rate of real GDP,,,,4.1
2011,Percentage,Annual growth rate of real GDP,,,,3.8
2012,Percentage,Annual growth rate of real GDP,,,,0.5
2013,Percentage,Annual growth rate of real GDP,,,,0.4
2014,Percentage,Annual growth rate of real GDP,,,,2.2
2015,Percentage,Annual growth rate of real GDP,,,,1.7
2016,Percentage,Annual growth rate of real GDP,,,,2.3
2017,Percentage,Annual growth rate of real GDP,,,,2.7
2018,Percentage,Annual growth rate of real GDP,,,,1.1
2019,Percentage,Annual growth rate of real GDP,,,,1.0
2020,Percentage,Annual growth rate of real GDP,,,,-4.1
2021,Percentage,Annual growth rate of real GDP,p,,,3.7
2022,Percentage,Annual growth rate of real GDP,p,,,1.4
2023,Percentage,Annual growth rate of real GDP,p,,,-0.3
2024,Percentage,Annual growth rate of real GDP,p,,,-0.2
2010,Billion EUR,Available income of private households,r,,,1578.1
2011,Billion EUR,Available income of private households,r,,,1626.7
2012,Billion EUR,Available income of private households,r,,,1660.8
2013,Billion EUR,Available income of private households,r,,,1682.0
2014,Billion EUR,Available income of private households,r,,,1726.7
2015,Billion EUR,Available income of private households,r,,,1779.3
2016,Billion EUR,Available income of private households,r,,,1834.4
2017,Billion EUR,Available income of private households,r,,,1897.4
2018,Billion EUR,Available income of private households,r,,,1973.8
2019,Billion EUR,Available income of private households,r,,,2022.1
2020,Billion EUR,Available income of private households,r,,,2025.4
2021,Billion EUR,Available income of private households,p,,,2085.2
2022,Billion EUR,Available income of private households,p,,,2249.8
2023,Billion EUR,Available income of private households,p,,,2404.6
2024,Billion EUR,Available income of private households,p,,,2501.7
2010,Billion EUR,Consumption by private households,,,,1417.1
2011,Billion EUR,Consumption by private households,,,,1463.0
2012,Billion EUR,Consumption by private households,,,,1503.4
2013,Billion EUR,Consumption by private households,,,,1528.8
2014,Billion EUR,Consumption by private households,,,,1560.4
2015,Billion EUR,Consumption by private households,,,,1604.9
2016,Billion EUR,Consumption by private households,,,,1651.7
2017,Billion EUR,Consumption by private households,,,,1704.0
2018,Billion EUR,Consumption by private households,,,,1757.5
2019,Billion EUR,Consumption by private households,,,,1813.7
2020,Billion EUR,Consumption by private households,,,,1695.6
2021,Billion EUR,Consumption by private households,p,,,1786.7
2022,Billion EUR,Consumption by private households,p,,,2018.0
2023,Billion EUR,Consumption by private households,p,,,2145.4
2024,Billion EUR,Consumption by private households,p,,,2207.1
2010,Billion EUR,Debts of the total public budget,,,,2011.7
2011,Billion EUR,Debts of the total public budget,,,,2025.4
2012,Billion EUR,Debts of the total public budget,,,,2068.3
2013,Billion EUR,Debts of the total public budget,,,,2043.3
2014,Billion EUR,Debts of the total public budget,,,,2043.9
2015,Billion EUR,Debts of the total public budget,,,,2020.7
2016,Billion EUR,Debts of the total public budget,,,,2009.3
2017,Billion EUR,Debts of the total public budget,,,,1969.1
2018,Billion EUR,Debts of the total public budget,,,,1915.8
2019,Billion EUR,Debts of the total public budget,,,,1899.1
2020,Billion EUR,Debts of the total public budget,,,,2172.9
2021,Billion EUR,Debts of the total public budget,,,,2321.0
2022,Billion EUR,Debts of the total public budget,,,,2368.0
2023,Billion EUR,Debts of the total public budget,,,,2445.1
2024,Billion EUR,Debts of the total public budget,…,,,
2010,Billion EUR,Government fiscal balance,,,,-115.6
