Year,Series,Value
2010,Renewable energy in total final energy consumption,10.6
2011,Renewable energy in total final energy consumption,11.5
2012,Renewable energy in total final energy consumption,11.9
2013,Renewable energy in total final energy consumption,12.0
2014,Renewable energy in total final energy consumption,13.2
2015,Renewable energy in total final energy consumption,14.0
2016,Renewable energy in total final energy consumption,14.0
2017,Renewable energy in total final energy consumption,14.9
2010,Renewable energy in gross final energy consumption,11.7
2011,Renewable energy in gross final energy consumption,12.5
2012,Renewable energy in gross final energy consumption,13.8
2013,Renewable energy in gross final energy consumption,13.8
2014,Renewable energy in gross final energy consumption,14.4
2015,Renewable energy in gross final energy consumption,14.9
2016,Renewable energy in gross final energy consumption,14.9
2017,Renewable energy in gross final energy consumption,15.5
2018,Renewable energy in gross final energy consumption,16.7
2019,Renewable energy in gross final energy consumption,17.3
2020,Renewable energy in gross final energy consumption,19.1
2021,Renewable energy in gross final energy consumption,19.4
2022,Renewable energy in gross final energy consumption,20.8
2023,Renewable energy in gross final energy consumption,22.0
