Year,Zeitreihe,Value
2010,Zweigstellen von Zahlungsverkehrsdienstleistern,57.9
2011,Zweigstellen von Zahlungsverkehrsdienstleistern,57.0
2012,Zweigstellen von Zahlungsverkehrsdienstleistern,54.7
2013,Zweigstellen von Zahlungsverkehrsdienstleistern,54.3
2014,Zweigstellen von Zahlungsverkehrsdienstleistern,52.8
2015,Zweigstellen von Zahlungsverkehrsdienstleistern,47.8
2016,Zweigstellen von Zahlungsverkehrsdienstleistern,44.9
2017,Zweigstellen von Zahlungsverkehrsdienstleistern,42.2
2018,Zweigstellen von Zahlungsverkehrsdienstleistern,39.0
2019,Zweigstellen von Zahlungsverkehrsdienstleistern,37.3
2020,Zweigstellen von Zahlungsverkehrsdienstleistern,33.8
2010,Bankautomaten von inländischen Zahlungsdienstleistern,118.9
2011,Bankautomaten von inländischen Zahlungsdienstleistern,120.9
2012,Bankautomaten von inländischen Zahlungsdienstleistern,118.3
2013,Bankautomaten von inländischen Zahlungsdienstleistern,118.0
2014,Bankautomaten von inländischen Zahlungsdienstleistern,123.1
2015,Bankautomaten von inländischen Zahlungsdienstleistern,121.6
2016,Bankautomaten von inländischen Zahlungsdienstleistern,132.2
2017,Bankautomaten von inländischen Zahlungsdienstleistern,132.8
2018,Bankautomaten von inländischen Zahlungsdienstleistern,134.3
2019,Bankautomaten von inländischen Zahlungsdienstleistern,121.9
2020,Bankautomaten von inländischen Zahlungsdienstleistern,122.5
