Year,Value,Units,Series
2007,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2008,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2009,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2010,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2011,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2012,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2013,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2014,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2015,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2016,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2017,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2018,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2019,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2020,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2021,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2022,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2023,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2024,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2025,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2026,1.0,"yes=1, no=0",(1) Contracting Party to the ITPGRFA
2007,,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2008,,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2009,,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2010,0.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2011,0.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2012,0.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2013,0.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2014,0.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2015,0.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2016,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2017,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2018,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2019,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2020,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2021,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2022,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2023,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2024,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2025,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2026,1.0,"yes=1, no=0",(2) Contracting party to the Nagoya Protocol
2007,,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2008,,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2009,,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2010,0.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2011,0.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2012,0.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2013,0.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2014,0.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2015,0.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2016,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2017,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2018,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2019,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2020,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2021,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2022,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2023,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2024,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2025,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2026,1.0,"yes=1, no=0",(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA
2007,,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2008,,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2009,,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2010,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2011,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2012,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2013,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2014,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2015,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2016,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2017,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2018,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2019,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2020,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2021,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2022,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2023,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2024,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2025,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
2026,1.0,"yes=1, no=0",(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House
