Year,Value,Units,Series
2010,1212.0,Million tonnes,Raw material consumption (RMC)
2011,1310.0,Million tonnes,Raw material consumption (RMC)
2012,1269.0,Million tonnes,Raw material consumption (RMC)
2013,1241.0,Million tonnes,Raw material consumption (RMC)
2014,1252.0,Million tonnes,Raw material consumption (RMC)
2015,1207.0,Million tonnes,Raw material consumption (RMC)
2016,1246.0,Million tonnes,Raw material consumption (RMC)
2017,1281.0,Million tonnes,Raw material consumption (RMC)
2018,1299.0,Million tonnes,Raw material consumption (RMC)
2019,1285.0,Million tonnes,Raw material consumption (RMC)
2020,1230.0,Million tonnes,Raw material consumption (RMC)
2021,1263.0,Million tonnes,Raw material consumption (RMC)
2010,14.8,Tonnes per capita,Raw material consumption (RMC)
2011,16.3,Tonnes per capita,Raw material consumption (RMC)
2012,15.8,Tonnes per capita,Raw material consumption (RMC)
2013,15.4,Tonnes per capita,Raw material consumption (RMC)
2014,15.4,Tonnes per capita,Raw material consumption (RMC)
2015,14.7,Tonnes per capita,Raw material consumption (RMC)
2016,15.1,Tonnes per capita,Raw material consumption (RMC)
2017,15.5,Tonnes per capita,Raw material consumption (RMC)
2018,15.6,Tonnes per capita,Raw material consumption (RMC)
2019,15.5,Tonnes per capita,Raw material consumption (RMC)
2020,14.8,Tonnes per capita,Raw material consumption (RMC)
2021,15.2,Tonnes per capita,Raw material consumption (RMC)
2010,110.2,2020 = 100,Raw material consumption per real GDP
2011,114.8,2020 = 100,Raw material consumption per real GDP
2012,110.7,2020 = 100,Raw material consumption per real GDP
2013,107.8,2020 = 100,Raw material consumption per real GDP
2014,106.5,2020 = 100,Raw material consumption per real GDP
2015,101.0,2020 = 100,Raw material consumption per real GDP
2017,102.0,2020 = 100,Raw material consumption per real GDP
2019,100.2,2020 = 100,Raw material consumption per real GDP
2020,100.0,2020 = 100,Raw material consumption per real GDP
2021,98.8,2020 = 100,Raw material consumption per real GDP
