Year,Value,Units
2010,0.97,"Per 100,000 inhabitants"
2011,0.9,"Per 100,000 inhabitants"
2012,0.81,"Per 100,000 inhabitants"
2014,0.89,"Per 100,000 inhabitants"
2015,0.84,"Per 100,000 inhabitants"
2016,1.17,"Per 100,000 inhabitants"
2017,0.99,"Per 100,000 inhabitants"
2018,0.95,"Per 100,000 inhabitants"
2019,0.75,"Per 100,000 inhabitants"
2020,0.94,"Per 100,000 inhabitants"
2021,0.84,"Per 100,000 inhabitants"
2022,0.82,"Per 100,000 inhabitants"
2023,0.91,"Per 100,000 inhabitants"
2010,793.0,Number
2011,738.0,Number
2012,659.0,Number
2013,682.0,Number
2014,716.0,Number
2015,682.0,Number
2016,963.0,Number
2017,813.0,Number
2018,788.0,Number
2019,623.0,Number
2020,782.0,Number
2021,695.0,Number
2022,686.0,Number
2023,770.0,Number
2024,779.0,Number
