Year,Value,Units
2010,119.0,Number
2011,124.0,Number
2012,115.0,Number
2013,110.0,Number
2014,98.0,Number
2015,106.0,Number
2016,147.0,Number
2017,120.0,Number
2018,130.0,Number
2019,104.0,Number
2020,117.0,Number
2021,118.0,Number
2022,106.0,Number
2023,80.0,Number
2024,87.0,Number
2010,3.4,"Per 100,000 inhabitants"
2011,3.3,"Per 100,000 inhabitants"
2012,3.2,"Per 100,000 inhabitants"
2014,2.6,"Per 100,000 inhabitants"
2015,2.9,"Per 100,000 inhabitants"
2016,3.8,"Per 100,000 inhabitants"
2018,3.8,"Per 100,000 inhabitants"
2019,3.1,"Per 100,000 inhabitants"
2020,3.1,"Per 100,000 inhabitants"
2021,3.1,"Per 100,000 inhabitants"
2022,3.0,"Per 100,000 inhabitants"
2023,2.3,"Per 100,000 inhabitants"
2010,0.001,Percentage
2011,0.001,Percentage
2012,0.001,Percentage
2013,0.001,Percentage
2014,0.001,Percentage
2015,0.001,Percentage
2016,0.001,Percentage
2018,0.001,Percentage
2019,0.001,Percentage
2020,0.001,Percentage
2021,0.001,Percentage
2022,0.001,Percentage
2023,0.001,Percentage
2024,0.001,Percentage
