Year,Value,Units,Series
2010,1228.0,Million tonnes,Domestic material consumption (DMC)
2011,1311.0,Million tonnes,Domestic material consumption (DMC)
2012,1265.0,Million tonnes,Domestic material consumption (DMC)
2013,1267.0,Million tonnes,Domestic material consumption (DMC)
2014,1289.0,Million tonnes,Domestic material consumption (DMC)
2015,1248.0,Million tonnes,Domestic material consumption (DMC)
2016,1264.0,Million tonnes,Domestic material consumption (DMC)
2017,1279.0,Million tonnes,Domestic material consumption (DMC)
2018,1231.0,Million tonnes,Domestic material consumption (DMC)
2019,1190.0,Million tonnes,Domestic material consumption (DMC)
2020,1157.0,Million tonnes,Domestic material consumption (DMC)
2021,1187.0,Million tonnes,Domestic material consumption (DMC)
2022,1141.0,Million tonnes,Domestic material consumption (DMC)
2023,1025.0,Million tonnes,Domestic material consumption (DMC)
2024,984.0,Million tonnes,Domestic material consumption (DMC)
2011,16.3,Tonnes per capita,Domestic material consumption (DMC)
2012,15.7,Tonnes per capita,Domestic material consumption (DMC)
2013,15.7,Tonnes per capita,Domestic material consumption (DMC)
2014,16.0,Tonnes per capita,Domestic material consumption (DMC)
2015,15.3,Tonnes per capita,Domestic material consumption (DMC)
2016,15.4,Tonnes per capita,Domestic material consumption (DMC)
2017,15.6,Tonnes per capita,Domestic material consumption (DMC)
2018,15.0,Tonnes per capita,Domestic material consumption (DMC)
2019,14.5,Tonnes per capita,Domestic material consumption (DMC)
2020,14.1,Tonnes per capita,Domestic material consumption (DMC)
2021,14.5,Tonnes per capita,Domestic material consumption (DMC)
2022,13.8,Tonnes per capita,Domestic material consumption (DMC)
2023,12.3,Tonnes per capita,Domestic material consumption (DMC)
2024,11.8,Tonnes per capita,Domestic material consumption (DMC)
2010,118.8,2020 = 100,Domestic material consumption per real GDP
2011,122.2,2020 = 100,Domestic material consumption per real GDP
2012,117.4,2020 = 100,Domestic material consumption per real GDP
2013,117.0,2020 = 100,Domestic material consumption per real GDP
2014,116.6,2020 = 100,Domestic material consumption per real GDP
2015,111.0,2020 = 100,Domestic material consumption per real GDP
2016,110.0,2020 = 100,Domestic material consumption per real GDP
2017,108.2,2020 = 100,Domestic material consumption per real GDP
2018,103.0,2020 = 100,Domestic material consumption per real GDP
2019,98.7,2020 = 100,Domestic material consumption per real GDP
2020,100.0,2020 = 100,Domestic material consumption per real GDP
2021,98.8,2020 = 100,Domestic material consumption per real GDP
