Year,Value,Units,Series
2010,244.0,Kilogram per capita,a) Hazardous waste generated per capita
2012,273.0,Kilogram per capita,a) Hazardous waste generated per capita
2014,269.0,Kilogram per capita,a) Hazardous waste generated per capita
2016,280.0,Kilogram per capita,a) Hazardous waste generated per capita
2018,292.0,Kilogram per capita,a) Hazardous waste generated per capita
2020,282.0,Kilogram per capita,a) Hazardous waste generated per capita
2010,100.0,Percentage,b) Hazardous waste treated
2012,100.0,Percentage,b) Hazardous waste treated
2014,100.0,Percentage,b) Hazardous waste treated
2016,100.0,Percentage,b) Hazardous waste treated
2018,100.0,Percentage,b) Hazardous waste treated
2020,100.0,Percentage,b) Hazardous waste treated
