Year,Value,Units,Series
2010,26789,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2011,25134,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2012,22362,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2013,21946,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2014,20703,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2015,19233,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2016,18056,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2017,17534,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2018,18146,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2019,13057,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2020,11658,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2021,12818,Attributable deaths,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2010,466082,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2011,435290,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2012,375632,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2013,378623,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2014,362514,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2015,332666,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2016,315346,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2017,301737,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2018,324648,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2019,239209,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2020,212531,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
2021,232863,DALYs,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older
