Year,Value,Units,Series
2010,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2011,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2012,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2013,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2014,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2015,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2016,9.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2017,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2018,0.0,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2019,3.3,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2020,26.5,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2021,25.46,Million EUR,ODA (commitments) to public-private partnerships (PPP) for infrastructure
2010,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2011,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2012,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2013,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2014,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2015,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2016,11.81,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2017,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2018,0.0,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2019,4.09,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2020,32.3,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2021,30.11,"Million USD, constant prices (2021)",ODA (commitments) to public-private partnerships (PPP) for infrastructure
2010,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2011,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2012,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2013,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2014,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2015,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2016,9.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2017,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2018,0.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2019,0.03,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2020,24.75,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2021,25.0,Million EUR,ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2010,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2011,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2012,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2013,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2014,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2015,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2016,11.81,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2017,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2018,0.0,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2019,0.04,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2020,30.16,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
2021,29.56,"Million USD, constant prices (2021)",ODA (gross disbursements) to public-private partnerships (PPP) for infrastructure
