Year,Value,Series
2010,268.0,CO₂ emissions per real GDP
2011,251.4,CO₂ emissions per real GDP
2012,253.2,CO₂ emissions per real GDP
2013,257.7,CO₂ emissions per real GDP
2014,240.3,CO₂ emissions per real GDP
2015,238.9,CO₂ emissions per real GDP
2016,232.7,CO₂ emissions per real GDP
2017,222.7,CO₂ emissions per real GDP
2023,164.2,CO₂ emissions per real GDP
2010,317.1,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2011,288.7,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2012,288.4,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2013,287.5,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2014,271.2,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2015,279.1,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2016,272.6,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2017,270.5,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2018,257.3,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2019,254.8,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
2020,268.9,CO₂ emissions per gross value added (price adjusted) in manufacturing industries
