Year,Value,Units,Series
2010,1571.0,Million tonnes carbon,Above-ground biomass stock in forest
2011,1584.9,Million tonnes carbon,Above-ground biomass stock in forest
2012,1598.2,Million tonnes carbon,Above-ground biomass stock in forest
2013,1611.9,Million tonnes carbon,Above-ground biomass stock in forest
2014,1636.5,Million tonnes carbon,Above-ground biomass stock in forest
2022,1675.7,Million tonnes carbon,Above-ground biomass stock in forest
2012,0.7,Percentage,Forest area located within protected areas
2021,0.6,Percentage,Forest area located within protected areas
2010,0.1,Percentage,Forest area net change rate
2014,0.2,Percentage,Forest area net change rate
2015,0.2,Percentage,Forest area net change rate
2020,0.1,Percentage,Forest area net change rate
2021,0.1,Percentage,Forest area net change rate
2022,0.2,Percentage,Forest area net change rate
2023,0.2,Percentage,Forest area net change rate
2010,67.5,Percentage,Forest area under an independently verified forest management certification scheme
2011,67.2,Percentage,Forest area under an independently verified forest management certification scheme
2012,66.9,Percentage,Forest area under an independently verified forest management certification scheme
2013,66.9,Percentage,Forest area under an independently verified forest management certification scheme
2014,66.6,Percentage,Forest area under an independently verified forest management certification scheme
2015,66.2,Percentage,Forest area under an independently verified forest management certification scheme
2016,66.7,Percentage,Forest area under an independently verified forest management certification scheme
2018,68.6,Percentage,Forest area under an independently verified forest management certification scheme
2024,79.3,Percentage,Forest area under an independently verified forest management certification scheme
