Year,Value,Units,Series
2015,4.65,Percentage,Population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2017,3.66,Percentage,Population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2019,4.67,Percentage,Population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2021,3.86,Percentage,Population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2023,11.56,Percentage,Population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years
2011,326.0,Number,Private persons (donors) suspected in the context of corruption offences
2012,191.0,Number,Private persons (donors) suspected in the context of corruption offences
2013,237.0,Number,Private persons (donors) suspected in the context of corruption offences
2014,125.0,Number,Private persons (donors) suspected in the context of corruption offences
2015,214.0,Number,Private persons (donors) suspected in the context of corruption offences
2017,318.0,Number,Private persons (donors) suspected in the context of corruption offences
2018,173.0,Number,Private persons (donors) suspected in the context of corruption offences
2019,334.0,Number,Private persons (donors) suspected in the context of corruption offences
2020,609.0,Number,Private persons (donors) suspected in the context of corruption offences
2021,524.0,Number,Private persons (donors) suspected in the context of corruption offences
2022,294.0,Number,Private persons (donors) suspected in the context of corruption offences
2023,442.0,Number,Private persons (donors) suspected in the context of corruption offences
2024,664.0,Number,Private persons (donors) suspected in the context of corruption offences
