Year,Value,Series
2010,88.0,"Population not living in an area with crime, violence or vandalism"
2011,87.1,"Population not living in an area with crime, violence or vandalism"
2012,87.5,"Population not living in an area with crime, violence or vandalism"
2013,86.5,"Population not living in an area with crime, violence or vandalism"
2014,86.9,"Population not living in an area with crime, violence or vandalism"
2015,86.2,"Population not living in an area with crime, violence or vandalism"
2016,85.9,"Population not living in an area with crime, violence or vandalism"
2017,85.8,"Population not living in an area with crime, violence or vandalism"
2018,86.7,"Population not living in an area with crime, violence or vandalism"
2019,86.9,"Population not living in an area with crime, violence or vandalism"
