Year,Value,Series
2014,174266.0,Plant genetic resources
2016,174405.0,Plant genetic resources
2017,177387.0,Plant genetic resources
2018,179498.0,Plant genetic resources
2019,181637.0,Plant genetic resources
2020,181574.0,Plant genetic resources
2021,182018.0,Plant genetic resources
2022,183488.0,Plant genetic resources
2023,183763.0,Plant genetic resources
2024,184995.0,Plant genetic resources
2017,28.0,Animal genetic resources
2018,28.0,Animal genetic resources
2019,28.0,Animal genetic resources
2020,28.0,Animal genetic resources
2021,28.0,Animal genetic resources
2022,28.0,Animal genetic resources
2023,28.0,Animal genetic resources
2024,30.0,Animal genetic resources
