Year,Value,Units
2010,,"1,000 tonnes"
2011,,"1,000 tonnes"
2012,,"1,000 tonnes"
2013,,"1,000 tonnes"
2014,,"1,000 tonnes"
2015,,"1,000 tonnes"
2016,,"1,000 tonnes"
2017,,"1,000 tonnes"
2018,,"1,000 tonnes"
2019,,"1,000 tonnes"
2020,9147.0,"1,000 tonnes"
2021,9214.0,"1,000 tonnes"
2022,9040.0,"1,000 tonnes"
2023,8859.0,"1,000 tonnes"
2010,,Kilogram per capita
2011,,Kilogram per capita
2012,,Kilogram per capita
2013,,Kilogram per capita
2014,,Kilogram per capita
2015,,Kilogram per capita
2016,,Kilogram per capita
2017,,Kilogram per capita
2018,,Kilogram per capita
2019,,Kilogram per capita
2020,110.0,Kilogram per capita
2021,110.0,Kilogram per capita
2023,106.0,Kilogram per capita
