Year,Value,Units,Series
2010,1239.0,Million tonnes,Domestic material consumption (DMC)
2011,1322.0,Million tonnes,Domestic material consumption (DMC)
2012,1276.0,Million tonnes,Domestic material consumption (DMC)
2013,1276.0,Million tonnes,Domestic material consumption (DMC)
2014,1285.0,Million tonnes,Domestic material consumption (DMC)
2015,1243.0,Million tonnes,Domestic material consumption (DMC)
2016,1259.0,Million tonnes,Domestic material consumption (DMC)
2017,1274.0,Million tonnes,Domestic material consumption (DMC)
2018,1234.0,Million tonnes,Domestic material consumption (DMC)
2019,1191.0,Million tonnes,Domestic material consumption (DMC)
2020,1156.0,Million tonnes,Domestic material consumption (DMC)
2021,1187.0,Million tonnes,Domestic material consumption (DMC)
2022,1140.0,Million tonnes,Domestic material consumption (DMC)
2023,1024.0,Million tonnes,Domestic material consumption (DMC)
2010,15.4,Tonnes per capita,Domestic material consumption (DMC)
2011,16.5,Tonnes per capita,Domestic material consumption (DMC)
2012,15.9,Tonnes per capita,Domestic material consumption (DMC)
2013,15.8,Tonnes per capita,Domestic material consumption (DMC)
2014,15.9,Tonnes per capita,Domestic material consumption (DMC)
2015,15.2,Tonnes per capita,Domestic material consumption (DMC)
2016,15.3,Tonnes per capita,Domestic material consumption (DMC)
2017,15.4,Tonnes per capita,Domestic material consumption (DMC)
2018,14.9,Tonnes per capita,Domestic material consumption (DMC)
2019,14.3,Tonnes per capita,Domestic material consumption (DMC)
2020,13.9,Tonnes per capita,Domestic material consumption (DMC)
2021,14.3,Tonnes per capita,Domestic material consumption (DMC)
2023,12.3,Tonnes per capita,Domestic material consumption (DMC)
2010,119.9,2020 = 100,Domestic material consumption per real GDP
2011,123.2,2020 = 100,Domestic material consumption per real GDP
2012,118.4,2020 = 100,Domestic material consumption per real GDP
2013,118.0,2020 = 100,Domestic material consumption per real GDP
2014,116.3,2020 = 100,Domestic material consumption per real GDP
2015,110.6,2020 = 100,Domestic material consumption per real GDP
2017,107.9,2020 = 100,Domestic material consumption per real GDP
2020,100.0,2020 = 100,Domestic material consumption per real GDP
2021,98.7,2020 = 100,Domestic material consumption per real GDP
