Year,Value,Series
2011,1,At least one population and housing census in the last 10 years conducted
2012,1,At least one population and housing census in the last 10 years conducted
2013,1,At least one population and housing census in the last 10 years conducted
2014,1,At least one population and housing census in the last 10 years conducted
2015,1,At least one population and housing census in the last 10 years conducted
2016,1,At least one population and housing census in the last 10 years conducted
2017,1,At least one population and housing census in the last 10 years conducted
2018,1,At least one population and housing census in the last 10 years conducted
2019,1,At least one population and housing census in the last 10 years conducted
2020,1,At least one population and housing census in the last 10 years conducted
2022,1,At least one population and housing census in the last 10 years conducted
2023,1,At least one population and housing census in the last 10 years conducted
2024,1,At least one population and housing census in the last 10 years conducted
2025,1,At least one population and housing census in the last 10 years conducted
2026,1,At least one population and housing census in the last 10 years conducted
2010,1,Birth registration
2011,1,Birth registration
2012,1,Birth registration
2013,1,Birth registration
2014,1,Birth registration
2015,1,Birth registration
2016,1,Birth registration
2017,1,Birth registration
2018,1,Birth registration
2019,1,Birth registration
2020,1,Birth registration
2021,1,Birth registration
2022,1,Birth registration
2023,1,Birth registration
2024,1,Birth registration
2025,1,Birth registration
2026,1,Birth registration
2010,1,Death registration
2011,1,Death registration
2012,1,Death registration
2013,1,Death registration
2014,1,Death registration
2015,1,Death registration
2016,1,Death registration
2017,1,Death registration
2018,1,Death registration
2019,1,Death registration
2020,1,Death registration
2021,1,Death registration
2022,1,Death registration
2023,1,Death registration
2024,1,Death registration
2025,1,Death registration
2026,1,Death registration
