Year,Units,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,,,,,31435.8
2011,million eur,,,,,40420.4
2012,million eur,,,,,27009.7
2013,million eur,,,,,39992.1
2014,million eur,,,,,39948.4
2015,million eur,,,,,42935.5
2016,million eur,,,,,44490.2
2017,million eur,,,,,47671.1
2018,million eur,,,,,44045.5
2019,million eur,,,,,37690.8
2020,million eur,,,,,39224.8
2021,million eur,,,,,58513.0
2022,million eur,,,,,49095.0
2023,million eur,,,,,68763.5
2024,million eur,,,,,62375.1
2010,million eur,oda (net disbursements),,,,9803.8
2011,million eur,oda (net disbursements),,,,10135.4
2012,million eur,oda (net disbursements),,,,10067.0
2013,million eur,oda (net disbursements),,,,10716.8
2014,million eur,oda (net disbursements),,,,12486.3
2015,million eur,oda (net disbursements),,,,16173.1
2016,million eur,oda (net disbursements),,,,22368.3
2017,million eur,oda (net disbursements),,,,22181.8
2018,million eur,oda (net disbursements),,,,21750.3
2019,million eur,oda (net disbursements),,,,21548.6
2020,million eur,oda (net disbursements),,,,25728.6
2021,million eur,oda (net disbursements),,,,27444.2
2022,million eur,oda (net disbursements),,,,34655.2
2023,million eur,oda (net disbursements),,,,38150.8
2024,million eur,oda (net disbursements),,,,30741.7
2010,million eur,oof (net disbursements),,,,51.5
2011,million eur,oof (net disbursements),,,,-103.6
2012,million eur,oof (net disbursements),,,,-71.0
2013,million eur,oof (net disbursements),,,,-63.9
2014,million eur,oof (net disbursements),,,,115.7
2015,million eur,oof (net disbursements),,,,1194.0
2016,million eur,oof (net disbursements),,,,-413.9
2017,million eur,oof (net disbursements),,,,-316.5
2018,million eur,oof (net disbursements),,,,-99.3
2019,million eur,oof (net disbursements),,,,12.6
2020,million eur,oof (net disbursements),,,,370.7
2021,million eur,oof (net disbursements),,,,1075.8
2022,million eur,oof (net disbursements),,,,219.6
2023,million eur,oof (net disbursements),,,,35.1
2024,million eur,oof (net disbursements),,,,153.3
2010,million eur,officially supported export credits (net disbursements),,,,2798.9
2011,million eur,officially supported export credits (net disbursements),,,,7392.1
2012,million eur,officially supported export credits (net disbursements),,,,4879.7
2013,million eur,officially supported export credits (net disbursements),,,,4082.9
2014,million eur,officially supported export credits (net disbursements),,,,-120.7
2015,million eur,officially supported export credits (net disbursements),,,,1682.3
2016,million eur,officially supported export credits (net disbursements),,,,3119.4
2017,million eur,officially supported export credits (net disbursements),,,,5.3
2018,million eur,officially supported export credits (net disbursements),,,,1176.6
2019,million eur,officially supported export credits (net disbursements),,,,-1739.6
2020,million eur,officially supported export credits (net disbursements),,,,-1072.8
2021,million eur,officially supported export credits (net disbursements),,,,-1065.1
2022,million eur,officially supported export credits (net disbursements),,,,-1306.1
2023,million eur,officially supported export credits (net disbursements),,,,9695.6
2024,million eur,officially supported export credits (net disbursements),,,,1437.3
2010,million eur,private sector flows at market terms (net disbursement),,,,17675.9
2011,million eur,private sector flows at market terms (net disbursement),,,,21847.7
2012,million eur,private sector flows at market terms (net disbursement),,,,11045.2
2013,million eur,private sector flows at market terms (net disbursement),,,,24190.4
2014,million eur,private sector flows at market terms (net disbursement),,,,26319.6
2015,million eur,private sector flows at market terms (net disbursement),,,,22640.9
2016,million eur,private sector flows at market terms (net disbursement),,,,18129.2
2017,million eur,private sector flows at market terms (net disbursement),,,,24478.4
2018,million eur,private sector flows at market terms (net disbursement),,,,20063.5
2019,million eur,private sector flows at market terms (net disbursement),,,,16505.6
2020,million eur,private sector flows at market terms (net disbursement),,,,12869.1
2021,million eur,private sector flows at market terms (net disbursement),,,,29778.8
2022,million eur,private sector flows at market terms (net disbursement),,,,13803.7
2023,million eur,private sector flows at market terms (net disbursement),,,,18862.2
2024,million eur,private sector flows at market terms (net disbursement),,,,27164.6
2010,million eur,private concessional flows (net disbursements),,,,1105.0
2011,million eur,private concessional flows (net disbursements),,,,1148.8
2012,million eur,private concessional flows (net disbursements),,,,1088.8
2013,million eur,private concessional flows (net disbursements),,,,1066.5
2014,million eur,private concessional flows (net disbursements),,,,1148.2
