Year,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,15.6
2011,,,,,15.8
2012,,,,,16.1
2013,,,,,16.1
2014,,,,,16.7
2015,,,,,16.7
2016,,,,,16.5
2017,,,,,16.1
2018,,,,,16.0
2019,,,,,14.8
2020,,|,,,16.1
2021,,,,,16.0
2022,,,,,14.8
2023,,,,,14.4
2024,,,,,15.5
2010,female,,,,16.4
2011,female,,,,16.8
2012,female,,,,17.2
2013,female,,,,17.2
2014,female,,,,17.4
2015,female,,,,17.4
2016,female,,,,17.8
2017,female,,,,17.1
2018,female,,,,16.8
2019,female,,,,15.7
2020,female,|,,,16.8
2021,female,,,,16.6
2022,female,,,,15.5
2023,female,,,,15.1
2024,female,,,,16.2
2010,male,,,,14.9
2011,male,,,,14.9
2012,male,,,,14.9
2013,male,,,,15.0
2014,male,,,,15.9
2015,male,,,,15.9
2016,male,,,,15.2
2017,male,,,,15.0
2018,male,,,,15.2
2019,male,,,,13.9
2020,male,|,,,15.3
2021,male,,,,15.4
2022,male,,,,14.0
2023,male,,,,13.7
2024,male,,,,14.7
