Year,Units,time series,Value
2010,million eur,commitments (oda),3278.8
2011,million eur,commitments (oda),2789.5
2012,million eur,commitments (oda),2529.2
2013,million eur,commitments (oda),3883.7
2014,million eur,commitments (oda),6071.7
2015,million eur,commitments (oda),4521.4
2016,million eur,commitments (oda),4791.5
2017,million eur,commitments (oda),4706.3
2018,million eur,commitments (oda),5132.6
2019,million eur,commitments (oda),5842.4
2020,million eur,commitments (oda),6906.7
2021,million eur,commitments (oda),6628.6
2022,million eur,commitments (oda),7684.0
2010,million eur,gross disbursements (oda),2235.1
2011,million eur,gross disbursements (oda),2286.4
2012,million eur,gross disbursements (oda),1876.3
2013,million eur,gross disbursements (oda),2661.2
2014,million eur,gross disbursements (oda),3598.0
2015,million eur,gross disbursements (oda),3988.5
2016,million eur,gross disbursements (oda),3627.8
2017,million eur,gross disbursements (oda),3736.2
2018,million eur,gross disbursements (oda),3930.2
2019,million eur,gross disbursements (oda),4229.5
2020,million eur,gross disbursements (oda),5035.3
2021,million eur,gross disbursements (oda),5282.4
2022,million eur,gross disbursements (oda),6285.4
2010,"million usd, constant prices (2022)",commitments (oda),4430.6
2011,"million usd, constant prices (2022)",commitments (oda),3729.0
2012,"million usd, constant prices (2022)",commitments (oda),3331.4
2013,"million usd, constant prices (2022)",commitments (oda),5017.0
2014,"million usd, constant prices (2022)",commitments (oda),7699.6
2015,"million usd, constant prices (2022)",commitments (oda),5629.1
2016,"million usd, constant prices (2022)",commitments (oda),5887.1
2017,"million usd, constant prices (2022)",commitments (oda),5696.6
2018,"million usd, constant prices (2022)",commitments (oda),6090.6
2019,"million usd, constant prices (2022)",commitments (oda),6787.9
2020,"million usd, constant prices (2022)",commitments (oda),7876.8
2021,"million usd, constant prices (2022)",commitments (oda),7338.7
2022,"million usd, constant prices (2022)",commitments (oda),8080.8
2010,"million usd, constant prices (2022)",gross disbursements (oda),3020.2
2011,"million usd, constant prices (2022)",gross disbursements (oda),3056.5
2012,"million usd, constant prices (2022)",gross disbursements (oda),2471.5
2013,"million usd, constant prices (2022)",gross disbursements (oda),3437.8
2014,"million usd, constant prices (2022)",gross disbursements (oda),4562.6
2015,"million usd, constant prices (2022)",gross disbursements (oda),4965.7
2016,"million usd, constant prices (2022)",gross disbursements (oda),4457.3
2017,"million usd, constant prices (2022)",gross disbursements (oda),4522.4
2018,"million usd, constant prices (2022)",gross disbursements (oda),4663.7
2019,"million usd, constant prices (2022)",gross disbursements (oda),4914.0
2020,"million usd, constant prices (2022)",gross disbursements (oda),5742.6
2021,"million usd, constant prices (2022)",gross disbursements (oda),5848.3
2022,"million usd, constant prices (2022)",gross disbursements (oda),6609.9
