Year,Units,time series,Value
2010,million eur,oda and oof (commitments),1.9
2011,million eur,oda and oof (commitments),2.4
2012,million eur,oda and oof (commitments),3.1
2013,million eur,oda and oof (commitments),10.1
2014,million eur,oda and oof (commitments),0.1
2015,million eur,oda and oof (commitments),0.1
2016,million eur,oda and oof (commitments),0.1
2017,million eur,oda and oof (commitments),2.3
2018,million eur,oda and oof (commitments),0.1
2019,million eur,oda and oof (commitments),0.1
2020,million eur,oda and oof (commitments),2.0
2021,million eur,oda and oof (commitments),1.8
2010,million eur,oda and oof (gross disbursements),2.6
2011,million eur,oda and oof (gross disbursements),3.3
2012,million eur,oda and oof (gross disbursements),1.8
2013,million eur,oda and oof (gross disbursements),10.6
2014,million eur,oda and oof (gross disbursements),0.1
2015,million eur,oda and oof (gross disbursements),0.0
2016,million eur,oda and oof (gross disbursements),0.1
2017,million eur,oda and oof (gross disbursements),0.1
2018,million eur,oda and oof (gross disbursements),0.5
2019,million eur,oda and oof (gross disbursements),0.9
2020,million eur,oda and oof (gross disbursements),1.1
2021,million eur,oda and oof (gross disbursements),3.1
2010,"million usd, constant prices (2021)",oda and oof (commitments),2.8
2011,"million usd, constant prices (2021)",oda and oof (commitments),3.5
2012,"million usd, constant prices (2021)",oda and oof (commitments),4.4
2013,"million usd, constant prices (2021)",oda and oof (commitments),13.9
2014,"million usd, constant prices (2021)",oda and oof (commitments),0.1
2015,"million usd, constant prices (2021)",oda and oof (commitments),0.1
2016,"million usd, constant prices (2021)",oda and oof (commitments),0.1
2017,"million usd, constant prices (2021)",oda and oof (commitments),2.9
2018,"million usd, constant prices (2021)",oda and oof (commitments),0.1
2019,"million usd, constant prices (2021)",oda and oof (commitments),0.1
2020,"million usd, constant prices (2021)",oda and oof (commitments),2.4
2021,"million usd, constant prices (2021)",oda and oof (commitments),2.2
2010,"million usd, constant prices (2021)",oda and oof (gross disbursements),3.8
2011,"million usd, constant prices (2021)",oda and oof (gross disbursements),4.7
2012,"million usd, constant prices (2021)",oda and oof (gross disbursements),2.5
2013,"million usd, constant prices (2021)",oda and oof (gross disbursements),14.7
2014,"million usd, constant prices (2021)",oda and oof (gross disbursements),0.1
2015,"million usd, constant prices (2021)",oda and oof (gross disbursements),0.0
2016,"million usd, constant prices (2021)",oda and oof (gross disbursements),0.1
2017,"million usd, constant prices (2021)",oda and oof (gross disbursements),0.1
2018,"million usd, constant prices (2021)",oda and oof (gross disbursements),0.7
2019,"million usd, constant prices (2021)",oda and oof (gross disbursements),1.1
2020,"million usd, constant prices (2021)",oda and oof (gross disbursements),1.4
2021,"million usd, constant prices (2021)",oda and oof (gross disbursements),3.7
