Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.082
2011,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.089
2012,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.089
2013,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.089
2014,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.089
2015,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.093
2016,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.212
2017,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.287
2018,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.313
2019,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.34
2020,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.34
2021,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.341
2022,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.341
2023,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.341
2024,percentage,marine key biodiversity areas (kbas) covered by protected areas,,,,89.341
2025,percentage,marine key biodiversity areas (kbas) covered by protected areas,…,,,89.341
2010,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1883157.707
2011,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1883311.449
2012,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1883314.329
2013,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1883314.329
2014,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1883314.329
2015,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1883389.516
2016,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1885919.711
2017,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1887489.612
2018,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1888047.555
2019,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1888627.336
2020,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1888627.336
2021,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1888646.391
2022,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1888646.43
2023,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1888647.107
2024,hectare,marine key biodiversity areas (kbas) covered by protected areas,,,,1888647.107
2025,hectare,marine key biodiversity areas (kbas) covered by protected areas,…,,,1888647.107
2010,hectare,marine areas covered by protected areas,,,,2523419.827
2011,hectare,marine areas covered by protected areas,,,,2523582.591
2012,hectare,marine areas covered by protected areas,,,,2523609.142
2013,hectare,marine areas covered by protected areas,,,,2523609.142
2014,hectare,marine areas covered by protected areas,,,,2523609.142
2015,hectare,marine areas covered by protected areas,,,,2524580.577
2016,hectare,marine areas covered by protected areas,,,,2561930.559
2017,hectare,marine areas covered by protected areas,,,,2567052.967
2018,hectare,marine areas covered by protected areas,,,,2571752.161
2019,hectare,marine areas covered by protected areas,,,,2578378.851
2020,hectare,marine areas covered by protected areas,,,,2578378.851
2021,hectare,marine areas covered by protected areas,,,,2578603.785
2022,hectare,marine areas covered by protected areas,,,,2578606.193
2023,hectare,marine areas covered by protected areas,,,,2578606.899
2024,hectare,marine areas covered by protected areas,,,,2578606.899
2025,hectare,marine areas covered by protected areas,,,,2578606.899
2010,percentage,marine areas covered by protected areas,,,,44.387
2011,percentage,marine areas covered by protected areas,,,,44.39
2012,percentage,marine areas covered by protected areas,,,,44.39
2013,percentage,marine areas covered by protected areas,,,,44.39
2014,percentage,marine areas covered by protected areas,,,,44.39
2015,percentage,marine areas covered by protected areas,,,,44.407
2016,percentage,marine areas covered by protected areas,,,,45.064
2017,percentage,marine areas covered by protected areas,,,,45.154
2018,percentage,marine areas covered by protected areas,,,,45.237
2019,percentage,marine areas covered by protected areas,,,,45.354
2020,percentage,marine areas covered by protected areas,,,,45.354
2021,percentage,marine areas covered by protected areas,,,,45.357
2022,percentage,marine areas covered by protected areas,,,,45.358
2023,percentage,marine areas covered by protected areas,,,,45.358
2024,percentage,marine areas covered by protected areas,,,,45.358
2025,percentage,marine areas covered by protected areas,,,,45.358
2010,hectare,marine areas covered by effective protected areas,,,,2181832.642
2011,hectare,marine areas covered by effective protected areas,,,,2181833.53
2012,hectare,marine areas covered by effective protected areas,,,,2181833.53
2013,hectare,marine areas covered by effective protected areas,,,,2181833.53
2014,hectare,marine areas covered by effective protected areas,,,,2181833.53
2015,hectare,marine areas covered by effective protected areas,,,,2181834.145
2016,hectare,marine areas covered by effective protected areas,,,,2181834.145
2017,hectare,marine areas covered by effective protected areas,,,,2183575.899
2018,hectare,marine areas covered by effective protected areas,,,,2183586.8
2019,hectare,marine areas covered by effective protected areas,,,,2187797.321
2020,hectare,marine areas covered by effective protected areas,,,,2187797.321
2021,hectare,marine areas covered by effective protected areas,,,,2187797.526
2022,hectare,marine areas covered by effective protected areas,,,,2187797.526
2023,hectare,marine areas covered by effective protected areas,,,,2187797.526
2024,hectare,marine areas covered by effective protected areas,,,,2187797.526
2025,hectare,marine areas covered by effective protected areas,,,,2187797.526
2010,percentage,marine areas covered by effective protected areas,,,,38.378
2011,percentage,marine areas covered by effective protected areas,,,,38.378
2012,percentage,marine areas covered by effective protected areas,,,,38.378
2013,percentage,marine areas covered by effective protected areas,,,,38.378
2014,percentage,marine areas covered by effective protected areas,,,,38.378
2015,percentage,marine areas covered by effective protected areas,,,,38.378
2016,percentage,marine areas covered by effective protected areas,,,,38.378
