Year,proportion of household expenditures on health,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2003,greater 10 %,,,,5.15
2004,greater 10 %,,,,
2005,greater 10 %,,,,
2006,greater 10 %,,,,
2007,greater 10 %,,,,
2008,greater 10 %,,,,4.85
2009,greater 10 %,,,,
2010,greater 10 %,.,,,
2011,greater 10 %,.,,,
2012,greater 10 %,.,,,
2013,greater 10 %,,,,4.36
2014,greater 10 %,.,,,
2015,greater 10 %,.,,,
2016,greater 10 %,.,,,
2017,greater 10 %,.,,,
2018,greater 10 %,,,,4.48
2003,greater 25 %,,,,0.91
2004,greater 25 %,,,,
2005,greater 25 %,,,,
2006,greater 25 %,,,,
2007,greater 25 %,,,,
2008,greater 25 %,,,,0.84
2009,greater 25 %,,,,
2010,greater 25 %,.,,,
2011,greater 25 %,.,,,
2012,greater 25 %,.,,,
2013,greater 25 %,,,,0.75
2014,greater 25 %,.,,,
2015,greater 25 %,.,,,
2016,greater 25 %,.,,,
2017,greater 25 %,.,,,
2018,greater 25 %,,,,0.85
