Year,timeseries,Value
2010,child deliveries in hospitals,656390.0
2011,child deliveries in hospitals,642197.0
2012,child deliveries in hospitals,653215.0
2013,child deliveries in hospitals,661138.0
2014,child deliveries in hospitals,692794.0
2015,child deliveries in hospitals,716539.0
2016,child deliveries in hospitals,761777.0
2017,child deliveries in hospitals,762343.0
2018,child deliveries in hospitals,757878.0
2019,child deliveries in hospitals,748492.0
2020,child deliveries in hospitals,
2010,live births total,677947.0
2011,live births total,662685.0
2012,live births total,673544.0
2013,live births total,682069.0
2014,live births total,714927.0
2015,live births total,737575.0
2016,live births total,792141.0
2017,live births total,784901.0
2018,live births total,787523.0
2019,live births total,778090.0
2020,live births total,773166.0
