Year,function,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,health,,,,14.25
2011,health,,,,14.74
2012,health,,,,14.87
2013,health,,,,15.32
2014,health,,,,15.71
2015,health,,,,15.82
2016,health,,,,15.77
2017,health,,,,15.67
2018,health,,,,15.74
2019,health,,,,15.71
2020,health,,,,16.3
2021,health,,,,16.78
2022,health,p,,,16.96
2023,health,p,,,15.36
2024,health,p,,,15.38
2010,education,r,,,8.98
2011,education,r,,,9.35
2012,education,,,,9.21
2013,education,r,,,9.35
2014,education,r,,,9.41
2015,education,r,,,9.36
2016,education,r,,,9.21
2017,education,r,,,9.21
2018,education,r,,,9.37
2019,education,r,,,9.44
2020,education,,,,8.94
2021,education,,,,8.77
2022,education,p,,,8.97
2023,education,p,,,9.24
2024,education,p,,,9.09
2010,social protection,,,,40.82
2011,social protection,,,,40.9
2012,social protection,,,,41.04
2013,social protection,r,,,41.14
2014,social protection,r,,,41.34
2015,social protection,r,,,42.04
2016,social protection,r,,,42.75
2017,social protection,r,,,42.71
2018,social protection,r,,,42.26
2019,social protection,r,,,42.19
2020,social protection,r,,,41.85
2021,social protection,,,,40.37
2022,social protection,p,,,40.82
2023,social protection,p,,,40.58
2024,social protection,p,,,41.27
