Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"per 100,000 inhabitants",non-sexual harassment,,,,,,35.3
2011,"per 100,000 inhabitants",non-sexual harassment,,,,,,32.9
2012,"per 100,000 inhabitants",non-sexual harassment,,,,,,32.2
2013,"per 100,000 inhabitants",non-sexual harassment,,,|,,,31.7
2014,"per 100,000 inhabitants",non-sexual harassment,,,,,,28.9
2015,"per 100,000 inhabitants",non-sexual harassment,,,,,,25.9
2016,"per 100,000 inhabitants",non-sexual harassment,,,,,,24.3
2017,"per 100,000 inhabitants",non-sexual harassment,,,,,,23.9
2018,"per 100,000 inhabitants",non-sexual harassment,,,,,,24.5
2019,"per 100,000 inhabitants",non-sexual harassment,,,,,,24.3
2020,"per 100,000 inhabitants",non-sexual harassment,,,,,,25.2
2021,"per 100,000 inhabitants",non-sexual harassment,,,,,,26.6
2022,"per 100,000 inhabitants",non-sexual harassment,,,,,,27.7
2023,"per 100,000 inhabitants",non-sexual harassment,,,,,,29.8
2024,"per 100,000 inhabitants",non-sexual harassment,,,|,,,32.0
2010,"per 100,000 inhabitants",non-sexual harassment,,female,,,,54.9
2011,"per 100,000 inhabitants",non-sexual harassment,,female,,,,51.4
2012,"per 100,000 inhabitants",non-sexual harassment,,female,,,,51.0
2013,"per 100,000 inhabitants",non-sexual harassment,,female,|,,,49.7
2014,"per 100,000 inhabitants",non-sexual harassment,,female,,,,45.3
2015,"per 100,000 inhabitants",non-sexual harassment,,female,,,,41.0
2016,"per 100,000 inhabitants",non-sexual harassment,,female,,,,38.7
2017,"per 100,000 inhabitants",non-sexual harassment,,female,,,,38.3
2018,"per 100,000 inhabitants",non-sexual harassment,,female,,,,39.2
2019,"per 100,000 inhabitants",non-sexual harassment,,female,,,,39.1
2020,"per 100,000 inhabitants",non-sexual harassment,,female,,,,40.3
2021,"per 100,000 inhabitants",non-sexual harassment,,female,,,,42.0
2022,"per 100,000 inhabitants",non-sexual harassment,,female,,,,44.2
2023,"per 100,000 inhabitants",non-sexual harassment,,female,,,,46.9
2024,"per 100,000 inhabitants",non-sexual harassment,,female,|,,,50.6
2010,"per 100,000 inhabitants",non-sexual harassment,,male,,,,14.9
2011,"per 100,000 inhabitants",non-sexual harassment,,male,,,,13.6
2012,"per 100,000 inhabitants",non-sexual harassment,,male,,,,12.8
2013,"per 100,000 inhabitants",non-sexual harassment,,male,|,,,12.9
2014,"per 100,000 inhabitants",non-sexual harassment,,male,,,,11.7
2015,"per 100,000 inhabitants",non-sexual harassment,,male,,,,10.4
2016,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.5
2017,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.2
2018,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.4
2019,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.2
2020,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.8
2021,"per 100,000 inhabitants",non-sexual harassment,,male,,,,10.7
2022,"per 100,000 inhabitants",non-sexual harassment,,male,,,,10.8
2023,"per 100,000 inhabitants",non-sexual harassment,,male,,,,12.1
2024,"per 100,000 inhabitants",non-sexual harassment,,male,|,,,12.9
2010,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,4.3
2011,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,4.1
2012,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,4.3
2013,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,|,,,4.3
2014,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.8
2015,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.5
