Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,percentage,s,,,municipal solid waste regularly collected and treated,100
2011,percentage,s,,,municipal solid waste regularly collected and treated,100
2012,percentage,s,,,municipal solid waste regularly collected and treated,100
2013,percentage,s,,,municipal solid waste regularly collected and treated,100
2014,percentage,s,,,municipal solid waste regularly collected and treated,100
2015,percentage,s,,,municipal solid waste regularly collected and treated,100
2016,percentage,s,,,municipal solid waste regularly collected and treated,100
2017,percentage,s,,,municipal solid waste regularly collected and treated,100
2018,percentage,s,,,municipal solid waste regularly collected and treated,100
2019,percentage,s,,,municipal solid waste regularly collected and treated,100
2020,percentage,s,,,municipal solid waste regularly collected and treated,100
2021,percentage,s,,,municipal solid waste regularly collected and treated,100
2022,percentage,s,,,municipal solid waste regularly collected and treated,100
2023,percentage,s,,,municipal solid waste regularly collected and treated,100
2010,"1,000 tonnes",,,,municipal solid waste in total,49237
2011,"1,000 tonnes",,,,municipal solid waste in total,50237
2012,"1,000 tonnes",,,,municipal solid waste in total,49759
2013,"1,000 tonnes",,,,municipal solid waste in total,49570
2014,"1,000 tonnes",,,,municipal solid waste in total,51102
2015,"1,000 tonnes",,,,municipal solid waste in total,51625
2016,"1,000 tonnes",,,,municipal solid waste in total,52133
2017,"1,000 tonnes",,,,municipal solid waste in total,51790
2018,"1,000 tonnes",,,,municipal solid waste in total,50260
2019,"1,000 tonnes",,,,municipal solid waste in total,50643
2020,"1,000 tonnes",,,,municipal solid waste in total,50993
2021,"1,000 tonnes",,,,municipal solid waste in total,51793
2022,"1,000 tonnes",,,,municipal solid waste in total,48559
2023,"1,000 tonnes",,,,municipal solid waste in total,48860
