Year,Units,ecosystem,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2018,percentage,lakes and rivers permanent water area,,,,area change in comparison to 2015,0.72
2021,percentage,lakes and rivers permanent water area,,,,area change in comparison to 2015,0.84
2018,percentage,wetlands area,,,,area change in comparison to 2015,0.85
2021,percentage,wetlands area,,,,area change in comparison to 2015,1.93
2018,percentage,large artificial or heavily modified lakes,,,,area change in comparison to 2015,-1.38
2021,percentage,large artificial or heavily modified lakes,,,,area change in comparison to 2015,2.79
2015,km²,lakes and rivers permanent water area,,,,area,5446.0
2018,km²,lakes and rivers permanent water area,,,,area,5485.0
2021,km²,lakes and rivers permanent water area,,,,area,5491.0
2015,km²,wetlands area,,,,area,1568.0
2018,km²,wetlands area,,,,area,1581.0
2021,km²,wetlands area,,,,area,1598.0
2015,km²,large artificial or heavily modified lakes,,,,area,637.0
2018,km²,large artificial or heavily modified lakes,,,,area,628.0
2021,km²,large artificial or heavily modified lakes,,,,area,655.0
2015,percentage,lakes and rivers permanent water area,,,,area as a proportion of total land area,1.52
2018,percentage,lakes and rivers permanent water area,,,,area as a proportion of total land area,1.53
2021,percentage,lakes and rivers permanent water area,,,,area as a proportion of total land area,1.54
2015,percentage,wetlands area,,,,area as a proportion of total land area,0.44
2018,percentage,wetlands area,,,,area as a proportion of total land area,0.44
2021,percentage,wetlands area,,,,area as a proportion of total land area,0.45
2015,percentage,large artificial or heavily modified lakes,,,,area as a proportion of total land area,0.18
2018,percentage,large artificial or heavily modified lakes,,,,area as a proportion of total land area,0.18
2021,percentage,large artificial or heavily modified lakes,,,,area as a proportion of total land area,0.18
