Year,Units,income considered,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2011,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2012,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2013,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2014,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2015,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2016,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2017,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2018,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2019,gini coefficient index points,,.,,,redistributive impact of fiscal policy,
2020,gini coefficient index points,,,,,redistributive impact of fiscal policy,10.4
2021,gini coefficient index points,,,,,redistributive impact of fiscal policy,14.3
2022,gini coefficient index points,,,,,redistributive impact of fiscal policy,17.0
2023,gini coefficient index points,,,,,redistributive impact of fiscal policy,16.7
2024,gini coefficient index points,,,,,redistributive impact of fiscal policy,18.2
2010,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2011,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2012,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2013,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2014,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2015,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2016,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2017,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2018,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2019,gini coefficient,equivalised market income (gross income without social transfers),.,,,gini coefficients,
2020,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,40.9
2021,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,45.5
2022,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,46.0
2023,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,46.1
2024,gini coefficient,equivalised market income (gross income without social transfers),,,,gini coefficients,47.7
2010,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2011,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2012,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2013,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2014,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2015,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2016,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2017,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2018,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2019,gini coefficient,equivalised disposable income (net income including social transfers),.,,,gini coefficients,
2020,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,30.5
2021,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,31.2
2022,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,29.0
2023,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,29.4
2024,gini coefficient,equivalised disposable income (net income including social transfers),,,,gini coefficients,29.5
