Year,timeseries,Value
2010,renewable energy share in total final energy consumption,10.6
2011,renewable energy share in total final energy consumption,11.5
2012,renewable energy share in total final energy consumption,11.9
2013,renewable energy share in total final energy consumption,12.0
2014,renewable energy share in total final energy consumption,13.2
2015,renewable energy share in total final energy consumption,14.0
2016,renewable energy share in total final energy consumption,14.0
2017,renewable energy share in total final energy consumption,14.9
2018,renewable energy share in total final energy consumption,
2019,renewable energy share in total final energy consumption,
2020,renewable energy share in total final energy consumption,
2021,renewable energy share in total final energy consumption,
2022,renewable energy share in total final energy consumption,
2010,renewable energy share in gross final energy consumption,11.4
2011,renewable energy share in gross final energy consumption,12.5
2012,renewable energy share in gross final energy consumption,13.6
2013,renewable energy share in gross final energy consumption,13.7
2014,renewable energy share in gross final energy consumption,14.3
2015,renewable energy share in gross final energy consumption,15.1
2016,renewable energy share in gross final energy consumption,14.9
2017,renewable energy share in gross final energy consumption,16.0
2018,renewable energy share in gross final energy consumption,16.8
2019,renewable energy share in gross final energy consumption,17.7
2020,renewable energy share in gross final energy consumption,19.4
2021,renewable energy share in gross final energy consumption,18.8
2022,renewable energy share in gross final energy consumption,20.3
