Year,Units,COMMENT_OBS_0,Series,Value
2010,percentage,r,manufacturing gross value added as a proportion of gdp,19.4
2011,percentage,r,manufacturing gross value added as a proportion of gdp,20.1
2012,percentage,r,manufacturing gross value added as a proportion of gdp,20.1
2013,percentage,r,manufacturing gross value added as a proportion of gdp,19.8
2014,percentage,r,manufacturing gross value added as a proportion of gdp,20.1
2015,percentage,r,manufacturing gross value added as a proportion of gdp,20.2
2016,percentage,r,manufacturing gross value added as a proportion of gdp,20.4
2017,percentage,r,manufacturing gross value added as a proportion of gdp,20.2
2018,percentage,r,manufacturing gross value added as a proportion of gdp,19.9
2019,percentage,r,manufacturing gross value added as a proportion of gdp,19.4
2020,percentage,,manufacturing gross value added as a proportion of gdp,18.6
2021,percentage,p,manufacturing gross value added as a proportion of gdp,18.7
2022,percentage,p,manufacturing gross value added as a proportion of gdp,18.3
2023,percentage,p,manufacturing gross value added as a proportion of gdp,18.5
2010,percentage,r,manufacturing gross value added as a proportion of total gross value added,21.7
2011,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.6
2012,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.5
2013,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.2
2014,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.6
2015,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.6
2016,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.9
2017,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.6
2018,percentage,r,manufacturing gross value added as a proportion of total gross value added,22.2
2019,percentage,r,manufacturing gross value added as a proportion of total gross value added,21.7
2020,percentage,,manufacturing gross value added as a proportion of total gross value added,20.7
2021,percentage,p,manufacturing gross value added as a proportion of total gross value added,20.9
2022,percentage,p,manufacturing gross value added as a proportion of total gross value added,20.3
2023,percentage,p,manufacturing gross value added as a proportion of total gross value added,20.3
2010,eur,r,manufacturing gross value added per capita,6332.0
2011,eur,r,manufacturing gross value added per capita,6892.0
2012,eur,r,manufacturing gross value added per capita,6984.0
2013,eur,r,manufacturing gross value added per capita,7028.0
2014,eur,r,manufacturing gross value added per capita,7416.0
2015,eur,r,manufacturing gross value added per capita,7612.0
2016,eur,r,manufacturing gross value added per capita,7931.0
2017,eur,r,manufacturing gross value added per capita,8141.0
2018,eur,r,manufacturing gross value added per capita,8222.0
2019,eur,r,manufacturing gross value added per capita,8240.0
2020,eur,,manufacturing gross value added per capita,7731.0
2021,eur,p,manufacturing gross value added per capita,8262.0
2022,eur,p,manufacturing gross value added per capita,8623.0
2023,eur,p,manufacturing gross value added per capita,9180.0
