Year,Units,age group,sex,typ of victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"per 100,000 inhabitants",,,,,,,0.97
2011,"per 100,000 inhabitants",,,,,,,0.9
2012,"per 100,000 inhabitants",,,,,,,0.81
2013,"per 100,000 inhabitants",,,,|,,,0.86
2014,"per 100,000 inhabitants",,,,,,,0.89
2015,"per 100,000 inhabitants",,,,,,,0.84
2016,"per 100,000 inhabitants",,,,,,,1.17
2017,"per 100,000 inhabitants",,,,,,,0.99
2018,"per 100,000 inhabitants",,,,,,,0.95
2019,"per 100,000 inhabitants",,,,,,,0.75
2020,"per 100,000 inhabitants",,,,,,,0.94
2021,"per 100,000 inhabitants",,,,,,,0.84
2022,"per 100,000 inhabitants",,,,,,,0.82
2023,"per 100,000 inhabitants",,,,,,,0.91
2024,"per 100,000 inhabitants",,,,|,,,0.93
2010,"per 100,000 inhabitants",13 years and younger,,,,,,0.75
2011,"per 100,000 inhabitants",13 years and younger,,,,,,0.72
2012,"per 100,000 inhabitants",13 years and younger,,,,,,0.9
2013,"per 100,000 inhabitants",13 years and younger,,,|,,,0.67
2014,"per 100,000 inhabitants",13 years and younger,,,,,,0.64
2015,"per 100,000 inhabitants",13 years and younger,,,,,,0.63
2016,"per 100,000 inhabitants",13 years and younger,,,,,,0.67
2017,"per 100,000 inhabitants",13 years and younger,,,,,,0.65
2018,"per 100,000 inhabitants",13 years and younger,,,,,,0.67
2019,"per 100,000 inhabitants",13 years and younger,,,,,,0.49
2020,"per 100,000 inhabitants",13 years and younger,,,,,,0.74
2021,"per 100,000 inhabitants",13 years and younger,,,,,,0.77
2022,"per 100,000 inhabitants",13 years and younger,,,,,,0.47
2023,"per 100,000 inhabitants",13 years and younger,,,,,,0.65
2024,"per 100,000 inhabitants",13 years and younger,,,|,,,0.51
2010,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.68
2011,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.84
2012,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.19
2013,"per 100,000 inhabitants",14 to under 18 years,,,|,,,0.37
2014,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.47
2015,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.44
2016,"per 100,000 inhabitants",14 to under 18 years,,,,,,1.09
2017,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.13
2018,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.45
2019,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.36
2020,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.4
2021,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.47
2022,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.46
2023,"per 100,000 inhabitants",14 to under 18 years,,,,,,0.55
2024,"per 100,000 inhabitants",14 to under 18 years,,,|,,,0.48
2010,"per 100,000 inhabitants",18 to under 21 years,,,,,,1.34
2011,"per 100,000 inhabitants",18 to under 21 years,,,,,,1.06
2012,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.89
2013,"per 100,000 inhabitants",18 to under 21 years,,,|,,,0.61
2014,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.82
2015,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.73
2016,"per 100,000 inhabitants",18 to under 21 years,,,,,,1.65
2017,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.6
2018,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.99
2019,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.62
2020,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.83
2021,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.77
2022,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.96
2023,"per 100,000 inhabitants",18 to under 21 years,,,,,,0.74
2024,"per 100,000 inhabitants",18 to under 21 years,,,|,,,1.11
2010,"per 100,000 inhabitants",21 to under 60 years,,,,,,1.01
2011,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.96
2012,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.81
2013,"per 100,000 inhabitants",21 to under 60 years,,,|,,,0.87
2014,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.93
2015,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.75
2016,"per 100,000 inhabitants",21 to under 60 years,,,,,,1.2
