Year,Units,Value
2010,mn t,1263.0
2011,mn t,1363.0
2012,mn t,1318.0
2013,mn t,1311.0
2014,mn t,1348.0
2015,mn t,1268.0
2016,mn t,1280.0
2017,mn t,1326.0
2018,mn t,1279.0
2010,t per capita,15.4
2011,t per capita,17.0
2012,t per capita,16.4
2013,t per capita,16.3
2014,t per capita,16.6
2015,t per capita,15.5
2016,t per capita,15.5
2017,t per capita,16.0
2018,t per capita,15.4
2010,per real gdp (2015 = 100),108.1
2011,per real gdp (2015 = 100),112.3
2012,per real gdp (2015 = 100),108.1
2013,per real gdp (2015 = 100),107.0
2014,per real gdp (2015 = 100),107.6
2015,per real gdp (2015 = 100),100.0
2016,per real gdp (2015 = 100),98.7
2017,per real gdp (2015 = 100),99.6
2018,per real gdp (2015 = 100),94.8
