Year,Units,type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,37785.0
2011,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,35302.0
2012,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,28098.0
2013,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,30869.0
2014,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,28954.0
2015,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,27045.0
2016,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,25262.0
2017,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,24603.0
2018,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,25444.0
2019,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,18497.0
2020,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,16561.0
2021,attributable deaths,,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,18186.0
2022,attributable deaths,,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,16531.0
2023,attributable deaths,,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,11746.0
2010,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3677.0
2011,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3511.0
2012,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2726.0
2013,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3235.0
2014,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2979.0
2015,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2964.0
2016,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2730.0
2017,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2828.0
