Year,sex,age,migratory status,income quintile,urbanisation,education level,country of origin,marital status,Value
2010,,,,,,,,,
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,13.0
2016,,,,,,,,,
2017,,,,,,,,,10.0
2018,,,,,,,,,
2019,,,,,,,,,9.0
2020,,,,,,,,,
2021,,,,,,,,,8.0
2010,female,,,,,,,,
2011,female,,,,,,,,
2012,female,,,,,,,,
2013,female,,,,,,,,
2014,female,,,,,,,,
2015,female,,,,,,,,13.0
2016,female,,,,,,,,
2017,female,,,,,,,,10.0
2018,female,,,,,,,,
2019,female,,,,,,,,8.0
2020,female,,,,,,,,
2021,female,,,,,,,,7.0
2010,male,,,,,,,,
2011,male,,,,,,,,
2012,male,,,,,,,,
2013,male,,,,,,,,
2014,male,,,,,,,,
2015,male,,,,,,,,13.0
2016,male,,,,,,,,
2017,male,,,,,,,,10.0
2018,male,,,,,,,,
2019,male,,,,,,,,9.0
2020,male,,,,,,,,
2021,male,,,,,,,,9.0
2010,divers,,,,,,,,
2011,divers,,,,,,,,
2012,divers,,,,,,,,
2013,divers,,,,,,,,
2014,divers,,,,,,,,
2015,divers,,,,,,,,
2016,divers,,,,,,,,
2017,divers,,,,,,,,
2018,divers,,,,,,,,
2019,divers,,,,,,,,23.0
2020,divers,,,,,,,,
2021,divers,,,,,,,,5.0
2010,,15 to under 20 years,,,,,,,
2011,,15 to under 20 years,,,,,,,
2012,,15 to under 20 years,,,,,,,
2013,,15 to under 20 years,,,,,,,
2014,,15 to under 20 years,,,,,,,
2015,,15 to under 20 years,,,,,,,8.0
2016,,15 to under 20 years,,,,,,,
2017,,15 to under 20 years,,,,,,,8.0
2018,,15 to under 20 years,,,,,,,
2019,,15 to under 20 years,,,,,,,7.0
2020,,15 to under 20 years,,,,,,,
2021,,15 to under 20 years,,,,,,,10.0
2010,,20 to under 25 years,,,,,,,
2011,,20 to under 25 years,,,,,,,
2012,,20 to under 25 years,,,,,,,
2013,,20 to under 25 years,,,,,,,
2014,,20 to under 25 years,,,,,,,
2015,,20 to under 25 years,,,,,,,14.0
2016,,20 to under 25 years,,,,,,,
2017,,20 to under 25 years,,,,,,,9.0
2018,,20 to under 25 years,,,,,,,
2019,,20 to under 25 years,,,,,,,8.0
2020,,20 to under 25 years,,,,,,,
2021,,20 to under 25 years,,,,,,,9.0
2010,,25 to under 30 years,,,,,,,
2011,,25 to under 30 years,,,,,,,
2012,,25 to under 30 years,,,,,,,
2013,,25 to under 30 years,,,,,,,
2014,,25 to under 30 years,,,,,,,
2015,,25 to under 30 years,,,,,,,15.0
2016,,25 to under 30 years,,,,,,,
2017,,25 to under 30 years,,,,,,,10.0
2018,,25 to under 30 years,,,,,,,
2019,,25 to under 30 years,,,,,,,11.0
2020,,25 to under 30 years,,,,,,,
2021,,25 to under 30 years,,,,,,,9.0
2010,,30 to under 35 years,,,,,,,
2011,,30 to under 35 years,,,,,,,
2012,,30 to under 35 years,,,,,,,
2013,,30 to under 35 years,,,,,,,
2014,,30 to under 35 years,,,,,,,
2015,,30 to under 35 years,,,,,,,10.0
2016,,30 to under 35 years,,,,,,,
2017,,30 to under 35 years,,,,,,,9.0
2018,,30 to under 35 years,,,,,,,
2019,,30 to under 35 years,,,,,,,10.0
2020,,30 to under 35 years,,,,,,,
2021,,30 to under 35 years,,,,,,,8.0
2010,,35 to under 40 years,,,,,,,
2011,,35 to under 40 years,,,,,,,
2012,,35 to under 40 years,,,,,,,
2013,,35 to under 40 years,,,,,,,
2014,,35 to under 40 years,,,,,,,
2015,,35 to under 40 years,,,,,,,13.0
2016,,35 to under 40 years,,,,,,,
2017,,35 to under 40 years,,,,,,,6.0
2018,,35 to under 40 years,,,,,,,
2019,,35 to under 40 years,,,,,,,9.0
2020,,35 to under 40 years,,,,,,,
2021,,35 to under 40 years,,,,,,,7.0
2010,,40 to under 45 years,,,,,,,
2011,,40 to under 45 years,,,,,,,
2012,,40 to under 45 years,,,,,,,
2013,,40 to under 45 years,,,,,,,
2014,,40 to under 45 years,,,,,,,
2015,,40 to under 45 years,,,,,,,11.0
2016,,40 to under 45 years,,,,,,,
2017,,40 to under 45 years,,,,,,,8.0
2018,,40 to under 45 years,,,,,,,
2019,,40 to under 45 years,,,,,,,7.0
2020,,40 to under 45 years,,,,,,,
2021,,40 to under 45 years,,,,,,,8.0
2010,,45 to under 50 years,,,,,,,
2011,,45 to under 50 years,,,,,,,
2012,,45 to under 50 years,,,,,,,
2013,,45 to under 50 years,,,,,,,
2014,,45 to under 50 years,,,,,,,
2015,,45 to under 50 years,,,,,,,10.0
2016,,45 to under 50 years,,,,,,,
2017,,45 to under 50 years,,,,,,,10.0
2018,,45 to under 50 years,,,,,,,
2019,,45 to under 50 years,,,,,,,8.0
2020,,45 to under 50 years,,,,,,,
2021,,45 to under 50 years,,,,,,,7.0
2010,,50 to under 55 years,,,,,,,
2011,,50 to under 55 years,,,,,,,
2012,,50 to under 55 years,,,,,,,
2013,,50 to under 55 years,,,,,,,
2014,,50 to under 55 years,,,,,,,
2015,,50 to under 55 years,,,,,,,14.0
2016,,50 to under 55 years,,,,,,,
2017,,50 to under 55 years,,,,,,,8.0
2018,,50 to under 55 years,,,,,,,
2019,,50 to under 55 years,,,,,,,7.0
2020,,50 to under 55 years,,,,,,,
2021,,50 to under 55 years,,,,,,,5.0
2010,,55 to under 60 years,,,,,,,
2011,,55 to under 60 years,,,,,,,
2012,,55 to under 60 years,,,,,,,
2013,,55 to under 60 years,,,,,,,
2014,,55 to under 60 years,,,,,,,
2015,,55 to under 60 years,,,,,,,14.0
2016,,55 to under 60 years,,,,,,,
2017,,55 to under 60 years,,,,,,,8.0
2018,,55 to under 60 years,,,,,,,
