Year,degree of urbanisation,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,cities,,,,,overcrowding rate,9.6
2011,cities,,,,,overcrowding rate,9.5
2012,cities,,,,,overcrowding rate,10.8
2013,cities,,,,,overcrowding rate,10.4
2014,cities,,,,,overcrowding rate,9.9
2015,cities,,,,,overcrowding rate,10.5
2016,cities,,,,,overcrowding rate,11.0
2017,cities,,,,,overcrowding rate,11.4
2018,cities,,,,,overcrowding rate,11.5
2019,cities,,,,,overcrowding rate,12.7
2020,cities,,|,,,overcrowding rate,15.0
2021,cities,,,,,overcrowding rate,15.7
2022,cities,,,,,overcrowding rate,16.5
2023,cities,,,,,overcrowding rate,16.6
2024,cities,,,,,overcrowding rate,16.7
2010,towns and suburbs,,,,,overcrowding rate,4.7
2011,towns and suburbs,,,,,overcrowding rate,4.1
2012,towns and suburbs,,,,,overcrowding rate,4.8
2013,towns and suburbs,,,,,overcrowding rate,5.2
2014,towns and suburbs,,,,,overcrowding rate,5.2
2015,towns and suburbs,,,,,overcrowding rate,5.6
2016,towns and suburbs,,,,,overcrowding rate,5.9
2017,towns and suburbs,,,,,overcrowding rate,5.3
2018,towns and suburbs,,,,,overcrowding rate,5.5
2019,towns and suburbs,,,,,overcrowding rate,5.5
2020,towns and suburbs,,|,,,overcrowding rate,8.0
2021,towns and suburbs,,,,,overcrowding rate,8.7
2022,towns and suburbs,,,,,overcrowding rate,9.0
2023,towns and suburbs,,,,,overcrowding rate,9.3
2024,towns and suburbs,,,,,overcrowding rate,9.2
2010,rural areas,,,,,overcrowding rate,4.7
2011,rural areas,,,,,overcrowding rate,4.1
2012,rural areas,,,,,overcrowding rate,3.7
2013,rural areas,,,,,overcrowding rate,4.0
2014,rural areas,,,,,overcrowding rate,4.1
2015,rural areas,,,,,overcrowding rate,3.9
2016,rural areas,,,,,overcrowding rate,3.5
2017,rural areas,,,,,overcrowding rate,3.9
2018,rural areas,,,,,overcrowding rate,4.2
2019,rural areas,,,,,overcrowding rate,4.0
2020,rural areas,,|,,,overcrowding rate,5.5
2021,rural areas,,,,,overcrowding rate,5.0
2022,rural areas,,,,,overcrowding rate,5.5
2023,rural areas,,,,,overcrowding rate,5.5
2024,rural areas,,,,,overcrowding rate,5.8
2010,cities,,,,,housing cost overburden rate,16.2
2011,cities,,,,,housing cost overburden rate,18.0
2012,cities,,,,,housing cost overburden rate,19.8
2013,cities,,,,,housing cost overburden rate,18.9
2014,cities,,,,,housing cost overburden rate,19.3
2015,cities,,,,,housing cost overburden rate,19.1
2016,cities,,,,,housing cost overburden rate,19.6
2017,cities,,,,,housing cost overburden rate,17.9
2018,cities,,,,,housing cost overburden rate,17.6
2019,cities,,,,,housing cost overburden rate,16.2
2020,cities,,|,,,housing cost overburden rate,11.4
2021,cities,,,,,housing cost overburden rate,12.4
2022,cities,,,,,housing cost overburden rate,13.1
2023,cities,,,,,housing cost overburden rate,14.2
2024,cities,,,,,housing cost overburden rate,13.1
2010,towns and suburbs,,,,,housing cost overburden rate,13.0
