Year,Units,timeseries,COMMENT_OBS_0,Value
2010,percentage,annual growth rate of real gdp,r,4.1
2011,percentage,annual growth rate of real gdp,r,3.8
2012,percentage,annual growth rate of real gdp,r,0.5
2013,percentage,annual growth rate of real gdp,r,0.4
2014,percentage,annual growth rate of real gdp,r,2.2
2015,percentage,annual growth rate of real gdp,r,1.7
2016,percentage,annual growth rate of real gdp,r,2.3
2017,percentage,annual growth rate of real gdp,r,2.7
2018,percentage,annual growth rate of real gdp,r,1.1
2019,percentage,annual growth rate of real gdp,r,1.0
2020,percentage,annual growth rate of real gdp,,-4.1
2021,percentage,annual growth rate of real gdp,p,3.7
2022,percentage,annual growth rate of real gdp,p,1.4
2023,percentage,annual growth rate of real gdp,p,-0.3
2010,billion eur,available income of private households,r,1577.9
2011,billion eur,available income of private households,r,1626.5
2012,billion eur,available income of private households,r,1660.6
2013,billion eur,available income of private households,r,1681.8
2014,billion eur,available income of private households,r,1726.4
2015,billion eur,available income of private households,r,1779.1
2016,billion eur,available income of private households,r,1834.2
2017,billion eur,available income of private households,r,1897.2
2018,billion eur,available income of private households,r,1973.6
2019,billion eur,available income of private households,r,2021.8
2020,billion eur,available income of private households,,2025.2
2021,billion eur,available income of private households,p,2085.0
2022,billion eur,available income of private households,p,2249.6
2023,billion eur,available income of private households,p,2404.4
2010,billion eur,consumption by private households,r,1417.1
2011,billion eur,consumption by private households,r,1463.0
2012,billion eur,consumption by private households,r,1503.4
2013,billion eur,consumption by private households,r,1528.8
2014,billion eur,consumption by private households,r,1560.4
2015,billion eur,consumption by private households,r,1604.9
2016,billion eur,consumption by private households,r,1651.7
2017,billion eur,consumption by private households,r,1704.0
2018,billion eur,consumption by private households,r,1757.5
2019,billion eur,consumption by private households,r,1813.7
2020,billion eur,consumption by private households,,1695.6
2021,billion eur,consumption by private households,p,1786.7
2022,billion eur,consumption by private households,p,2018.0
2023,billion eur,consumption by private households,p,2145.4
2010,billion eur,debts of the total public budget,,2011.7
2011,billion eur,debts of the total public budget,,2025.4
2012,billion eur,debts of the total public budget,,2068.3
2013,billion eur,debts of the total public budget,,2043.3
2014,billion eur,debts of the total public budget,,2043.9
2015,billion eur,debts of the total public budget,,2020.7
2016,billion eur,debts of the total public budget,,2009.3
2017,billion eur,debts of the total public budget,,1969.1
2018,billion eur,debts of the total public budget,,1915.8
2019,billion eur,debts of the total public budget,,1899.1
2020,billion eur,debts of the total public budget,,2172.9
2021,billion eur,debts of the total public budget,p,2321.0
2022,billion eur,debts of the total public budget,p,2368.0
2023,billion eur,debts of the total public budget,p,2445.1
2010,billion eur,government fiscal balance,r,-115.6
2011,billion eur,government fiscal balance,r,-23.1
2012,billion eur,government fiscal balance,r,-1.5
2013,billion eur,government fiscal balance,r,3.5
2014,billion eur,government fiscal balance,r,21.8
2015,billion eur,government fiscal balance,r,28.2
2016,billion eur,government fiscal balance,r,36.2
2017,billion eur,government fiscal balance,r,44.6
2018,billion eur,government fiscal balance,r,64.7
2019,billion eur,government fiscal balance,r,47.0
2020,billion eur,government fiscal balance,,-151.1
2021,billion eur,government fiscal balance,p,-116.4
2022,billion eur,government fiscal balance,p,-84.9
2023,billion eur,government fiscal balance,p,-107.5
2010,billion eur,gross fixed capital formation,r,501.8
2011,billion eur,gross fixed capital formation,r,549.6
2012,billion eur,gross fixed capital formation,r,558.9
2013,billion eur,gross fixed capital formation,r,561.2
2014,billion eur,gross fixed capital formation,r,590.4
2015,billion eur,gross fixed capital formation,r,609.6
2016,billion eur,gross fixed capital formation,r,640.4
2017,billion eur,gross fixed capital formation,r,671.1
2018,billion eur,gross fixed capital formation,r,714.9
2019,billion eur,gross fixed capital formation,r,748.2
2020,billion eur,gross fixed capital formation,,736.5
2021,billion eur,gross fixed capital formation,p,779.2
2022,billion eur,gross fixed capital formation,p,858.3
2023,billion eur,gross fixed capital formation,p,899.9
2010,million hours,hours worked by employees,r,49385.0
2011,million hours,hours worked by employees,r,50163.0
2012,million hours,hours worked by employees,r,50098.0
2013,million hours,hours worked by employees,r,50243.0
2014,million hours,hours worked by employees,r,51075.0
2015,million hours,hours worked by employees,r,51811.0
2016,million hours,hours worked by employees,r,52493.0
2017,million hours,hours worked by employees,r,53225.0
2018,million hours,hours worked by employees,r,53913.0
2019,million hours,hours worked by employees,r,54333.0
2020,million hours,hours worked by employees,,52028.0
